serial,name,value,notes
16P71179-7205,CC_a0,0.001253718,
16P71179-7205,CC_a1,0.0002770087,
16P71179-7205,CC_a2,-1.515109e-06,
16P71179-7205,CC_a3,1.945202e-07,
16P71179-7205,CC_cpcor,-9.57e-08,
16P71179-7205,CC_ctcor,3.25e-06,
16P71179-7205,CC_frequency_offset,-0.4307,
16P71179-7205,CC_g,-0.9861639,
16P71179-7205,CC_h,0.1387175,
16P71179-7205,CC_i,-0.0003735547,
16P71179-7205,CC_j,4.660706e-05,
16P71179-7205,CC_oxygen_signal_slope,0.4741,
16P71179-7205,CC_pa0,0.0493313,
16P71179-7205,CC_pa1,0.001552248,
16P71179-7205,CC_pa2,9.185753e-12,
16P71179-7205,CC_ptca0,525716.2,
16P71179-7205,CC_ptca1,3.61796,
16P71179-7205,CC_ptca2,-0.09985313,
16P71179-7205,CC_ptcb0,25.0435,
16P71179-7205,CC_ptcb1,-0.0001,
16P71179-7205,CC_ptcb2,0,
16P71179-7205,CC_ptempa0,-55.13786,
16P71179-7205,CC_ptempa1,56.06231,
16P71179-7205,CC_ptempa2,-0.6657409,
16P71179-7205,CC_residual_temperature_correction_factor_a,-0.0030279,
16P71179-7205,CC_residual_temperature_correction_factor_b,0.00019242,
16P71179-7205,CC_residual_temperature_correction_factor_c,-3.3014e-06,
16P71179-7205,CC_residual_temperature_correction_factor_e,0.036,
