serial,name,value,notes
16-50113,CC_a0,1.26E-03,
16-50113,CC_a1,2.76E-04,
16-50113,CC_a2,-1.58E-06,
16-50113,CC_a3,2.00E-07,
16-50113,CC_cpcor,-9.57E-08,
16-50113,CC_ctcor,3.25E-06,
16-50113,CC_g,-9.70E-01,
16-50113,CC_h,1.51E-01,
16-50113,CC_i,-9.37E-05,
16-50113,CC_j,3.17E-05,
16-50113,CC_pa0,1.40E-01,
16-50113,CC_pa1,1.55E-03,
16-50113,CC_pa2,7.19E-12,
16-50113,CC_ptca0,5.24E+05,
16-50113,CC_ptca1,6.73E+00,
16-50113,CC_ptca2,-1.19E-01,
16-50113,CC_ptcb0,2.49E+01,
16-50113,CC_ptcb1,-3.50E-04,
16-50113,CC_ptcb2,0.00E+00,
16-50113,CC_ptempa0,-8.21E+01,
16-50113,CC_ptempa1,4.60E+01,
16-50113,CC_ptempa2,3.45E-03,
16-50113,CC_offset,0,
