serial,name,value,notes
16-50327,CC_a0,1.25367608e-003,
16-50327,CC_a1,2.72221720e-004,
16-50327,CC_a2,-7.67525769e-007,
16-50327,CC_a3,1.64077170e-007,
16-50327,CC_cpcor,-9.57000000e-008,
16-50327,CC_ctcor,3.2500e-006,
16-50327,CC_g,-1.00022766e+000,
16-50327,CC_h,1.55369713e-001,
16-50327,CC_i,-1.45441156e-004,
16-50327,CC_j,3.46523603e-005,
16-50327,CC_pa0,1.88577932e-001,
16-50327,CC_pa1,9.01427528e-003,
16-50327,CC_pa2,3.82714606e-011,
16-50327,CC_ptca0,5.26463433e+005,
16-50327,CC_ptca1,-7.31062060e+000,
16-50327,CC_ptca2,3.89193804e-001,
16-50327,CC_ptcb0,1.02758985e+002,
16-50327,CC_ptcb1,1.42554693e-003,
16-50327,CC_ptcb2,0.00000000e+000,
16-50327,CC_ptempa0,-8.39163137e+001,
16-50327,CC_ptempa1,3.97438552e+001,
16-50327,CC_ptempa2,1.37824664e+000,
16-50327,CC_offset,0,
