serial,name,value,notes
26P76848-1382,CC_b,8388.6,
26P76848-1382,CC_c1,601.7697,
26P76848-1382,CC_c2,4.960647,
26P76848-1382,CC_c3,-1135.396,
26P76848-1382,CC_d1,0.026914,
26P76848-1382,CC_d2,0,
26P76848-1382,CC_m,125829.1,
26P76848-1382,CC_offset_correction_factor,0,Constant
26P76848-1382,CC_pressure_offset_calibration_coefficient,0,
26P76848-1382,CC_slope_correction_factor,1,Constant
26P76848-1382,CC_t1,27.81081,
26P76848-1382,CC_t2,0.559139,
26P76848-1382,CC_t3,19.90768,
26P76848-1382,CC_t4,35.66575,
26P76848-1382,CC_u0,5.784788,
26P76848-1382,CC_y1,-3942.673,
26P76848-1382,CC_y2,-11520.64,
26P76848-1382,CC_y3,0,
