serial,name,value,notes
26P-1328,CC_b,8388.6,date in filename comes from latest sensor caldate read from file captured from relevant QCT
26P-1328,CC_c1,6.072786e+02,
26P-1328,CC_c2,-6.532171e+00,
26P-1328,CC_c3,-1.024374e+03,
26P-1328,CC_d1,2.928000e-02,
26P-1328,CC_d2,0.000000e+00,
26P-1328,CC_m,125829.1,
26P-1328,CC_offset_correction_factor,0,
26P-1328,CC_pressure_offset_calibration_coefficient,-1.703000e-01,
26P-1328,CC_slope_correction_factor,1,
26P-1328,CC_t1,2.783369e+01,
26P-1328,CC_t2,6.072020e-01,
26P-1328,CC_t3,1.821885e+01,
26P-1328,CC_t4,2.790597e+01,
26P-1328,CC_u0,5.827194e+00,
26P-1328,CC_y1,-3.910859e+03,
26P-1328,CC_y2,-1.070825e+04,
26P-1328,CC_y3,0.000000e+00,
