serial,name,value,notes
26P64515-1329,CC_b,2796.2,
26P64515-1329,CC_c1,2064.659,
26P64515-1329,CC_c2,14.16356,
26P64515-1329,CC_c3,-3193.857,
26P64515-1329,CC_d1,0.011655,
26P64515-1329,CC_d2,0,
26P64515-1329,CC_m,41943,
26P64515-1329,CC_offset_correction_factor,0,Constant
26P64515-1329,CC_pressure_offset_calibration_coefficient,-0.2472,
26P64515-1329,CC_slope_correction_factor,1,Constant
26P64515-1329,CC_t1,27.61045,
26P64515-1329,CC_t2,0.236271,
26P64515-1329,CC_t3,16.69386,
26P64515-1329,CC_t4,32.30367,
26P64515-1329,CC_u0,5.843641,
26P64515-1329,CC_y1,-3952.915,
26P64515-1329,CC_y2,10377.22,
26P64515-1329,CC_y3,0,
