serial,name,value,notes
26P76848-1388,CC_b,838.8,
26P76848-1388,CC_c1,-5715.219,
26P76848-1388,CC_c2,-0.603369,
26P76848-1388,CC_c3,16931.25,
26P76848-1388,CC_d1,0.080456,
26P76848-1388,CC_d2,0,
26P76848-1388,CC_m,12582.9,
26P76848-1388,CC_offset_correction_factor,0,
26P76848-1388,CC_pressure_offset_calibration_coefficient,-0.4742,
26P76848-1388,CC_slope_correction_factor,1,
26P76848-1388,CC_t1,30.36646,
26P76848-1388,CC_t2,0.74353,
26P76848-1388,CC_t3,50.42604,
26P76848-1388,CC_t4,144.0226,
26P76848-1388,CC_u0,5.858992,
26P76848-1388,CC_y1,-3948.355,
26P76848-1388,CC_y2,-10193.85,
26P76848-1388,CC_y3,0,
