serial,name,value,notes
26P-1401,CC_b,838.8,
26P-1401,CC_c1,-4813.483,
26P-1401,CC_c2,123.3909,
26P-1401,CC_c3,13549.89,
26P-1401,CC_d1,0.071081,
26P-1401,CC_d2,0,
26P-1401,CC_m,12582.9,
26P-1401,CC_offset_correction_factor,0,
26P-1401,CC_pressure_offset_calibration_coefficient,-0.3947,
26P-1401,CC_slope_correction_factor,1,Constant
26P-1401,CC_t1,30.38801,
26P-1401,CC_t2,1.029573,Constant
26P-1401,CC_t3,45.59356,
26P-1401,CC_t4,114.0129,
26P-1401,CC_u0,5.828481,
26P-1401,CC_y1,-3960.795,
26P-1401,CC_y2,-10321,
26P-1401,CC_y3,0,
