serial,name,value,notes
B,CC_arr_agcl,"[0.0, -8.61134e-10, 9.21187e-07, -0.00037455, 0.06655, -4.30086]",
B,CC_arr_agclref,"[0.0, 0.0, -2.5e-10, -2.5e-08, -2.5e-06, -0.09025]",
B,CC_arr_eh2sg,"[0.0, 0.0, 0.0, 0.0, -4.49477e-05, -0.01228]",
B,CC_arr_hgo,"[0.0, 0.0, 4.38978e-10, -1.88519e-07, -0.000188232, 0.92372]",
B,CC_arr_logkfh2g,"[0.0, 0.0, -1.51904e-07, 0.000116655, -0.03435, 6.32102]",
B,CC_arr_logkfh2g,"[0.0, 0.0, -1.51904e-07, 0.000116655, -0.03435, 6.32102]",
B,CC_arr_tac,"[0.0, 0.0, -2.80979e-09, 2.21477e-06, -0.000553586, 0.05723]",
B,CC_arr_tbc1,"[0.0, 0.0, -6.59572e-08, 4.52831e-05, -0.01204, 1.70059]",
B,CC_arr_tbc1,"[0.0, 0.0, -6.59572e-08, 4.52831e-05, -0.01204, 1.70059]",
B,CC_arr_tbc2,"[0.0, 0.0, 8.49102e-08, -6.20293e-05, 0.01485, -1.41503]",
B,CC_arr_tbc2,"[0.0, 0.0, 8.49102e-08, -6.20293e-05, 0.01485, -1.41503]",
B,CC_arr_tbc3,"[-1.86747e-12, 2.32877e-09, -1.18318e-06, 0.000304753, -0.03956, 2.2047]",
B,CC_arr_tbc3,"[-1.86747e-12, 2.32877e-09, -1.18318e-06, 0.000304753, -0.03956, 2.2047]",
B,CC_arr_yh2sg,"[23.113, -187.8, 597.93, -915.12, 677.17, -186.38]",
B,CC_e2l_H,"[0.0, 0.0, 0.0, 0.0, 0.9979, -0.10287]",This instrument is broken so cal values not updated
B,CC_e2l_L,"[0.0, 0.0, 0.0, 0.0, 0.9964, -0.46112]",
B,CC_e2l_agcl,"[0.0, 0.0, 0.0, 0.0, 1.0, -0.00225]",
B,CC_e2l_b,"[0.0, 0.0, 0.0, 0.0, 1.04938, -275.5]",
B,CC_e2l_h2,"[0.0, 0.0, 0.0, 0.0, 1.0, -0.00375]",
B,CC_e2l_hs,"[0.0, 0.0, 0.0, 0.0, 1.0, -0.0035]",
B,CC_e2l_r,"[0.0, 0.0, 0.0, 0.0, 1.04938, -275.5]",
B,CC_e2l_ysz,"[0.0, 0.0, 0.0, 0.0, 1.0, -0.00375]",
B,CC_l2s_H,"[9.32483e-07, -0.000122268, 0.00702, -0.23532, 17.06172, 0.0]",Changed from ATAPL-58342-0002A
B,CC_l2s_L,"[9.32483e-07, -0.000122268, 0.00702, -0.23532, 17.06172, 0.0]",
B,CC_l2s_b,"[0.0, 0.0, 8.7755e-08, 0.0, 0.000234101, 0.001129306]",
B,CC_l2s_r,"[0.0, 0.0, 8.7755e-08, 0.0, 0.000234101, 0.001129306]",
B,CC_s2v_r,"[5.83124e-14, -4.09038e-11, -3.44498e-08, 5.14528e-05, 0.05841, 0.00209]",
