serial,name,value,notes
21969,CC_heading,81,degrees
21969,CC_t1_position,"[14.7,25.4,5.1]",cm
21969,CC_t2_position,"[0,0,5.1]",cm
21969,CC_t3_position,"[22,12.7,5.1]",cm
21969,CC_t4_position,"[44,25.4,5.1]",cm
21969,CC_t5_position,"[22,38.1,5.1]",cm
21969,CC_t6_position,"[0,50.8,5.1]",cm
21969,CC_t7_position,"[0,25.4,5.1]",cm
21969,CC_t8_position,"[0,25.4,17.8]",cm
21969,CC_t9_position,"[0,25.4,17.8]",cm
21969,CC_t10_position,"[0,50.8,17.8]",cm
21969,CC_t11_position,"[22,38.1,17.8]",cm
21969,CC_t12_position,"[44,25.4,17.8]",cm
21969,CC_t13_position,"[22,12.7,17.8]",cm
21969,CC_t14_position,"[0,0,17.8]",cm
21969,CC_t15_position,"[14.7,25.4,43.2]",cm
21969,CC_t16_position,"[0,0,43.2]",cm
21969,CC_t17_position,"[22,12.7,43.2]",cm
21969,CC_t18_position,"[44,25.4,43.2]",cm
21969,CC_t19_position,"[22,38.1,43.2]",cm
21969,CC_t20_position,"[0,50.8,43.2]",cm
21969,CC_t21_position,"[0,25.4,43.2]",cm
21969,CC_t22_position,"[0,50.8,81.3]",cm
21969,CC_t23_position,"[44,25.4,81.3]",cm
21969,CC_t24_position,"[0,0,81.3]",cm
