CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
OC1404B,,,,CE01ISSM-MFC31-00-CPMENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGCON-MCPM03-00001,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD35-00-DCLENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGCON-MDCL35-00002,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD35-01-VEL3DD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-VEL3DD-09668,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD35-02-PRESFA000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-PRESFA-01351,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD35-04-ADCPTM000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-ADCPTM-18225,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD35-05-PCO2WB000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-PCO2WB-C0063,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD35-06-PHSEND000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-PHSEND-P0084,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD37-00-DCLENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGCON-MDCL37-00001,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD37-01-OPTAAD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-OPTAAD-00136,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD37-03-CTDBPC000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-CTDBPC-07240,44.65828,-124.0956,,25,25,nominal_depth
OC1404B,,,,CE01ISSM-MFD37-03-DOSTAD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,CGMCE-01ISSM-00001,,CGINS-DOSTAD-00136,44.65828,-124.0956,,,25,
