deploymentNumber,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
1,OC1404B,,,,CE01ISSP-SP001-00-SPPENG000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGCON-CSPPCE-00001,44.6584,-124.09817,,100,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-DOSTAJ-00209,44.6584,-124.09817,,25,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-OPTAAJ-00137,44.6584,-124.09817,,25,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-05-VELPTJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-VELPTJ-11259,44.6584,-124.09817,,25,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-06-NUTNRJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-NUTNRJ-00337,44.6584,-124.09817,,25,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-07-SPKIRJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-SPKIRJ-00237,44.6584,-124.09817,,25,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-08-FLORTJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-FLORTJ-01084,44.6584,-124.09817,,25,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-09-CTDPFJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-CTDPFJ-00308,44.6584,-124.09817,,25,,nominal_depth
1,OC1404B,,,,CE01ISSP-SP001-10-PARADJ000,1,2014-04-17T22:20:00,2014-05-28T00:00:00,CGMCE-01ISSP-00001,CGVEH-CSPPCE-00001,CGINS-PARADJ-00365,44.6584,-124.09817,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-00-SPPENG000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGCON-CSPPCE-00002,44.66415,-124.09567,,100,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-DOSTAJ-00352,44.66415,-124.09567,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-OPTAAJ-00139,44.66415,-124.09567,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-05-VELPTJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-VELPTJ-11912,44.66415,-124.09567,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-06-NUTNRJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-NUTNRJ-00425,44.66415,-124.09567,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-07-SPKIRJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-SPKIRJ-00264,44.66415,-124.09567,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-08-FLORTJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-FLORTJ-01206,44.66415,-124.09567,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-09-CTDPFJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-CTDPFJ-00349,44.66415,-124.09567,,25,,nominal_depth
2,EK-1506,,,,CE01ISSP-SP001-10-PARADJ000,1,2015-06-23T21:41:00,2015-07-06T00:00:00,CGMCE-01ISSP-00002,CGVEH-CSPPCE-00002,CGINS-PARADJ-00434,44.66415,-124.09567,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-00-SPPENG000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGCON-CSPPCE-00003,44.64828,-124.09812,,100,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-DOSTAJ-00353,44.64828,-124.09812,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-OPTAAJ-00138,44.64828,-124.09812,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-05-VELPTJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-VELPTJ-11900,44.64828,-124.09812,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-06-NUTNRJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-NUTNRJ-00426,44.64828,-124.09812,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-07-SPKIRJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-SPKIRJ-00266,44.64828,-124.09812,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-08-FLORTJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-FLORTJ-01207,44.64828,-124.09812,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-09-CTDPFJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-CTDPFJ-00346,44.64828,-124.09812,,25,,nominal_depth
3,EK-1507,,,,CE01ISSP-SP001-10-PARADJ000,1,2015-07-17T19:04:00,2015-08-13T00:00:00,CGMCE-01ISSP-00003,CGVEH-CSPPCE-00003,CGINS-PARADJ-00411,44.64828,-124.09812,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-00-SPPENG000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGCON-CSPPCE-00003,44.65602,-124.09524,,100,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-DOSTAJ-00353,44.65602,-124.09524,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-OPTAAJ-00138,44.65602,-124.09524,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-05-VELPTJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-VELPTJ-11900,44.65602,-124.09524,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-06-NUTNRJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-NUTNRJ-00426,44.65602,-124.09524,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-07-SPKIRJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-SPKIRJ-00266,44.65602,-124.09524,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-08-FLORTJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-FLORTJ-01207,44.65602,-124.09524,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-09-CTDPFJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-CTDPFJ-00346,44.65602,-124.09524,,25,,nominal_depth
4,OC1404B,,,,CE01ISSP-SP001-10-PARADJ000,1,2015-08-14T22:20:00,2015-10-15T00:00:00,CGMCE-01ISSP-00004,CGVEH-CSPPCE-00003,CGINS-PARADJ-00411,44.65602,-124.09524,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-00-SPPENG000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGCON-CSPPCE-00003,44.65905,-124.09755,,100,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-DOSTAD-00315,44.65905,-124.09755,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-OPTAAJ-00138,44.65905,-124.09755,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-05-VELPTJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-VELPTJ-11779,44.65905,-124.09755,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-06-NUTNRJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-NUTNRJ-00426,44.65905,-124.09755,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-07-SPKIRJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-SPKIRJ-00266,44.65905,-124.09755,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-08-FLORTJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-FLORTJ-01206,44.65905,-124.09755,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-09-CTDPFJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-CTDPFJ-00346,44.65905,-124.09755,,25,,nominal_depth
5,PS1606,,,,CE01ISSP-SP001-10-PARADJ000,1,2016-06-16T16:47:00,2016-08-08T00:00:00,CGMCE-01ISSP-00005,CGVEH-CSPPCE-00003,CGINS-PARADJ-00411,44.65905,-124.09755,,25,,nominal_depth
6,EK-1608,,,,CE01ISSP-SP001-00-SPPENG000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGCON-CSPPCE-00003,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-DOSTAD-00315,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-OPTAAJ-00138,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-05-VELPTJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-VELPTJ-11779,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-06-NUTNRJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-NUTNRJ-00426,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-07-SPKIRJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-SPKIRJ-00266,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-08-FLORTJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-FLORTJ-01206,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-09-CTDPFJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-CTDPFJ-00346,44.66205,-124.09595,,,25,
6,EK-1608,,,,CE01ISSP-SP001-10-PARADJ000,1,2016-08-23T23:10:00,2016-10-02T19:00:00,CGMCE-01ISSP-00006,CGVEH-CSPPCE-00003,CGINS-PARADJ-00411,44.66205,-124.09595,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-00-SPPENG000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGCON-CSPPCE-00007,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-DOSTAJ-00352,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-OPTAAD-00184,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-05-VELPTJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-VELPTJ-12876,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-06-NUTNRJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-NUTNRJ-00870,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-07-SPKIRJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-SPKIRJ-00281,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-08-FLORTJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-FLORTJ-01518,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-09-CTDPFJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-CTDPFJ-00405,44.65818,-124.098,,,25,
7,SKQ201704S,,,,CE01ISSP-SP001-10-PARADJ000,1,2017-04-23T17:11:00,2017-06-27T17:10:00,CGMCE-01ISSP-00007,CGVEH-CSPPCE-00007,CGINS-PARADJ-00504,44.65818,-124.098,,,25,
8,ML-1707,,,,CE01ISSP-SP001-00-SPPENG000,1,2017-07-19T15:46:00,,CGMCE-01ISSP-00008,CGVEH-CSPPCE-00007,CGCON-CSPPCE-00007,44.66090,-124.09680,,,25,
8,ML-1707,,,,CE01ISSP-SP001-02-DOSTAJ000,1,2017-07-19T15:46:00,,CGMCE-01ISSP-00008,CGVEH-CSPPCE-00007,CGINS-DOSTAJ-00352,44.66090,-124.09680,,,25,
8,ML-1707,,,,CE01ISSP-SP001-04-OPTAAJ000,1,2017-07-19T15:46:00,,CGMCE-01ISSP-00008,CGVEH-CSPPCE-00007,CGINS-OPTAAD-00184,44.66090,-124.09680,,,25,
8,ML-1707,,,,CE01ISSP-SP001-05-VELPTJ000,1,2017-07-19T15:46:00,,CGMCE-01ISSP-00008,CGVEH-CSPPCE-00007,CGINS-VELPTJ-12876,44.66090,-124.09680,,,25,
