CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
TN-326,,,,CE02SHBP-LJ01D-05-ADCPTB104,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-69826-00002,44.63708,-124.30595,,80
TN-326,,,,CE02SHBP-LJ01D-06-CTDBPN106,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-69827-00002,44.63708,-124.30595,,80
TN-326,,,,CE02SHBP-LJ01D-06-DOSTAD106,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-58320-00019,44.63708,-124.30595,,80
TN-326,,,,CE02SHBP-LJ01D-07-VEL3DC108,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-69829-00001,44.63708,-124.30595,,80
TN-326,,,,CE02SHBP-LJ01D-08-OPTAAD106,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-58332-00008,44.63708,-124.30595,,80
TN-326,,,,CE02SHBP-LJ01D-09-PCO2WB103,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,A01647,44.63708,-124.30595,,80
TN-326,,,,CE02SHBP-LJ01D-10-PHSEND103,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,A01426,44.63708,-124.30595,,80
TN-326,,,,CE02SHBP-LJ01D-11-HYDBBA106,2,1,2015-08-02T05:47:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,N00698,44.63704,-124.30586,,81
TN-326,,,,CE02SHBP-MJ01C-07-ZPLSCB101,2,1,2015-08-02T18:12:00,2016-07-21T00:00:00,ATAPL-65244-030-0025,,ATOSU-63259-00003,44.63739,-124.30547,,81
TN-326,,,,CE02SHBP-MJ01C-08-CAMDSB107,2,1,2015-08-02T12:40:00,2016-07-21T00:00:00,ATAPL-65244-030-0025,,ATAPL-58317-00006,44.6373,-124.30549,,80
