CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth,notes
TN-924,,,,CE02SHBP-LJ01D-05-ADCPTB104,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-69826-00001,44.63708,-124.30595,,80,
TN-924,,,,CE02SHBP-LJ01D-06-CTDBPN106,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-69827-00003,44.63708,-124.30595,,80,
TN-924,,,,CE02SHBP-LJ01D-06-DOSTAD106,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-58320-00020,44.63708,-124.30595,,80,
TN-924,,,,CE02SHBP-LJ01D-07-VEL3DC108,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-69829-00003,44.63708,-124.30595,,80,
TN-924,,,,CE02SHBP-LJ01D-08-OPTAAD106,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-69943-00012,44.63708,-124.30595,,80,
TN-924,,,,CE02SHBP-LJ01D-09-PCO2WB103,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-70570-00001,44.63708,-124.30595,,80,
TN-924,,,,CE02SHBP-LJ01D-10-PHSEND103,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-70571-00001,44.63708,-124.30595,,80,
TN-924,,,,CE02SHBP-LJ01D-11-HYDBBA106,3,1,2016-07-22T22:50:00,,ATAPL-65310-820-0009,,ATOSU-58324-00014,44.63704,-124.30586,,81,
TN-925,,,,CE02SHBP-MJ01C-07-ZPLSCB101,3,1,2016-07-22T22:50:00,,ATAPL-65244-030-0025,,ATOSU-63259-00001,44.63739,-124.30547,,81,
TN-925,,,,CE02SHBP-MJ01C-08-CAMDSB107,3,1,2016-07-22T22:50:00,,ATAPL-65244-030-0025,,ATOSU-58317-00012,44.6373,-124.30549,,80,
