CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
OC1503D,,,,CE02SHSM-RIC21-00-CPMENG000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000302,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID26-00-DCLENG000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000305,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID26-01-ADCPTA000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00240,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID26-04-VELPTA000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A01018,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID26-06-PHSEND000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00661,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID26-07-NUTNRB000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00124,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID26-08-SPKIRB000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00663,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID27-00-DCLENG000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000306,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID27-01-OPTAAD000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00906,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID27-02-FLORTD000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00475,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID27-03-CTDBPC000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A01039,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-RID27-04-DOSTAD000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00433,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBC11-00-CPMENG000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000301,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD11-00-DCLENG000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000303,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD11-01-MOPAK0000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000298,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD11-02-HYDGN0000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000299,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD11-04-VELPTA000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A01017,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD11-06-METBKA000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,N00733,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD12-00-DCLENG000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000304,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD12-03-HYDGN0000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,OL000300,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD12-04-PCO2AA000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A01047,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD12-05-WAVSSA000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A00795,44.63833,-124.30388,,80
OC1503D,,,,CE02SHSM-SBD12-08-FDCHPA000,1,1,2015-04-02T20:29:00,2015-10-07T00:00:00,N00211,,A01098,44.63833,-124.30388,,80
