deploymentNumber,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
1,OC1503D,,,,CE02SHSM-RIC21-00-CPMENG000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGCON-NCPM02-00003,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID26-00-DCLENG000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGCON-NDCL26-00016,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID26-01-ADCPTA000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-ADCPTA-19016,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID26-04-VELPTA000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-VELPTA-11780,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID26-06-PHSEND000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-PHSEND-P0118,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID26-07-NUTNRB000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-NUTNRB-00255,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID26-08-SPKIRB000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-SPKIRB-00248,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID27-00-DCLENG000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,OL000306,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID27-01-OPTAAD000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-OPTAAD-00174,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID27-02-FLORTD000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-FLORTD-01123,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID27-03-CTDBPC000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-CTDBPC-50013,44.63833,-124.30388,,7,80,
1,OC1503D,,,,CE02SHSM-RID27-04-DOSTAD000,1,2015-04-02T20:15:00,2015-09-22T07:48:00,CGMCE-02SHSM-00001,,CGINS-DOSTAD-00223,44.63833,-124.30388,,7,80,
