CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
TN-313,,,,CE04OSBP-LJ01C-05-ADCPSI103,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-69825-00002,44.36955,-124.95375,,581,581,
TN-313,,,,CE04OSBP-LJ01C-06-CTDBPO108,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-69828-00001,44.36955,-124.95375,,581,581,
TN-313,,,,CE04OSBP-LJ01C-06-DOSTAD108,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-58320-00021,44.36955,-124.95375,,581,581,
TN-313,,,,CE04OSBP-LJ01C-07-VEL3DC107,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-69829-00004,44.36955,-124.95375,,581,581,
TN-313,,,,CE04OSBP-LJ01C-08-OPTAAC104,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-69943-00011,44.36955,-124.95375,,581,581,
TN-313,,,,CE04OSBP-LJ01C-09-PCO2WB104,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-70570-00002,44.36955,-124.95375,,581,581,
TN-313,,,,CE04OSBP-LJ01C-10-PHSEND107,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-70571-00002,44.36955,-124.95375,,581,581,
TN-313,,,,CE04OSBP-LJ01C-11-HYDBBA105,1,1,2014-08-15T00:12:00,2015-08-02T00:00:00,ATAPL-65310-030-0005,,ATOSU-58324-00015,44.36964,-124.95382,,580,580,
TN-313,,,,CE04OSBP-LV01C-06-CAMDSB106,1,1,2014-08-16T07:59:00,,ATAPL-65291-030-0045,,ATOSU-58317-00008,44.3693,-124.9541,,582,582,
TN-326,,,,CE04OSBP-LJ01C-05-ADCPSI103,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,ATOSU-69825-00001,44.3695,-124.95369,,581,581,
TN-326,,,,CE04OSBP-LJ01C-06-CTDBPO108,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,CGINS-CTDBPO-07249,44.3695,-124.95369,,581,581,
TN-326,,,,CE04OSBP-LJ01C-06-DOSTAD108,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,ATOSU-58320-00022,44.3695,-124.95369,,581,581,
TN-326,,,,CE04OSBP-LJ01C-07-VEL3DC107,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,ATOSU-69829-00002,44.3695,-124.95369,,581,581,
TN-326,,,,CE04OSBP-LJ01C-08-OPTAAC104,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,ATOSU-69943-00010,44.3695,-124.95369,,581,581,
TN-326,,,,CE04OSBP-LJ01C-09-PCO2WB104,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,CGINS-PCO2WB-C0090,44.3695,-124.95369,,581,581,
TN-326,,,,CE04OSBP-LJ01C-10-PHSEND107,2,1,2015-08-03T22:00:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,CGINS-PHSEND-P0132,44.3695,-124.95369,,581,581,
TN-326,,,,CE04OSBP-LJ01C-11-HYDBBA105,2,1,2015-08-03T22:45:00,2016-07-21T00:00:00,ATAPL-65310-810-0008,,ATOSU-58324-00013,44.36952,-124.95378,,580,580,
SKQ201610S,,,,CE04OSBP-LJ01C-05-ADCPSI103,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-69825-00002,44.3695,-124.95369,,581,581,
SKQ201610S,,,,CE04OSBP-LJ01C-06-CTDBPO108,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-69828-00001,44.3695,-124.95369,,581,581,
SKQ201610S,,,,CE04OSBP-LJ01C-06-DOSTAD108,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-58320-00021,44.3695,-124.95369,,581,581,
SKQ201610S,,,,CE04OSBP-LJ01C-07-VEL3DC107,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-69829-00004,44.3695,-124.95369,,581,581,
SKQ201610S,,,,CE04OSBP-LJ01C-08-OPTAAC104,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-69943-00011,44.3695,-124.95369,,581,581,
SKQ201610S,,,,CE04OSBP-LJ01C-09-PCO2WB104,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-70570-00002,44.3695,-124.95369,,581,581,
SKQ201610S,,,,CE04OSBP-LJ01C-10-PHSEND107,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-70571-00002,44.3695,-124.95369,,581,581,
SKQ201610S,,,,CE04OSBP-LJ01C-11-HYDBBA105,3,1,2016-07-22T22:50:00,,ATAPL-65310-810-0005,,ATOSU-58324-00015,44.36952,-124.95378,,580,580,
