CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
TN-919,,,,CE04OSPS-PC01B-05-ZPLSCB102,3,1,2016-07-19T08:00:00,,ATAPL-69839-002-0105,,ATOSU-63259-00005,44.37415,-124.95648,,
TN-919,,,,CE04OSPS-PC01B-4A-CTDPFA109,3,1,2016-07-19T08:00:00,,ATAPL-69839-002-0105,,ATOSU-66662-00006,44.37415,-124.95648,,
TN-919,,,,CE04OSPS-PC01B-4A-DOSTAD109,3,1,2016-07-19T08:00:00,,ATAPL-69839-002-0105,,ATOSU-58320-00007,44.37415,-124.95648,,
TN-919,,,,CE04OSPS-PC01B-4B-PHSENA106,3,1,2016-07-19T08:00:00,,ATAPL-69839-002-0105,,ATOSU-58337-00007,44.37415,-124.95648,,
TN-919,,,,CE04OSPS-PC01B-4D-PCO2WA105,3,1,2016-07-19T08:00:00,,ATAPL-69839-002-0105,,ATOSU-58336-00006,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-2A-CTDPFA107,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATOSU-66662-00007,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-2A-DOFSTA107,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATAPL-58694-00004,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-2B-PHSENA108,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATOSU-58337-00008,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-3A-FLORTD104,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATOSU-58322-00008,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-3B-OPTAAD105,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATAPL-69943-00009,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-3C-PARADA102,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATOSU-66645-00005,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-3D-SPKIRA102,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATOSU-58341-00005,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-4A-NUTNRA102,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATAPL-68020-00005,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-4B-VELPTD106,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATAPL-70114-00004,44.37415,-124.95648,,
TN-920,,,,CE04OSPS-SF01B-4F-PCO2WA102,3,1,2016-07-19T08:00:00,,ATAPL-68870-002-0144,,ATOSU-58336-00005,44.37415,-124.95648,,
