CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
EK20210730,S.Pearce,TN394,,CE05MOAS-G0917-00-ENG000000,1,1,2021-07-30T16:45:00,2021-09-09T02:19:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGCON-GLDRCE-00917,44.646,-124.128,,200,200,On rechargeable lithium batteries,,
EK20210730,S.Pearce,TN394,,CE05MOAS-G0917-01-PARADM000,1,1,2021-07-30T16:45:00,2021-09-09T02:19:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-PARADM-50336,44.646,-124.128,,200,200,On rechargeable lithium batteries,,
EK20210730,S.Pearce,TN394,,CE05MOAS-G0917-02-FLORTM000,1,1,2021-07-30T16:45:00,2021-09-09T02:19:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-FLORTM-06744,44.646,-124.128,,200,200,On rechargeable lithium batteries,,
EK20210730,S.Pearce,TN394,,CE05MOAS-G0917-03-ADCPAM000,1,1,2021-07-30T16:45:00,2021-09-09T02:19:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-ADCPAM-73246,44.646,-124.128,,200,200,On rechargeable lithium batteries,,
EK20210730,S.Pearce,TN394,,CE05MOAS-G0917-04-DOSTAM000,1,1,2021-07-30T16:45:00,2021-09-09T02:19:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-DOSTAM-00891,44.646,-124.128,,200,200,On rechargeable lithium batteries,,
EK20210730,S.Pearce,TN394,,CE05MOAS-G0917-05-CTDGVM000,1,1,2021-07-30T16:45:00,2021-09-09T02:19:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-CTDGVM-09692,44.646,-124.128,,200,200,On rechargeable lithium batteries,,
TN394,S.Pearce,TN394,S.Pearce,CE05MOAS-G0917-00-ENG000000,2,1,2021-09-19T22:38:00,2021-09-21T12:53:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGCON-GLDRCE-00917,44.642,-124.303,,200,200,On rechargeable lithium batteries,,
TN394,S.Pearce,TN394,S.Pearce,CE05MOAS-G0917-01-PARADM000,2,1,2021-09-19T22:38:00,2021-09-21T12:53:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-PARADM-50336,44.642,-124.303,,200,200,On rechargeable lithium batteries,,
TN394,S.Pearce,TN394,S.Pearce,CE05MOAS-G0917-02-FLORTM000,2,1,2021-09-19T22:38:00,2021-09-21T12:53:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-FLORTM-06744,44.642,-124.303,,200,200,On rechargeable lithium batteries,,
TN394,S.Pearce,TN394,S.Pearce,CE05MOAS-G0917-03-ADCPAM000,2,1,2021-09-19T22:38:00,2021-09-21T12:53:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-ADCPAM-73246,44.642,-124.303,,200,200,On rechargeable lithium batteries,,
TN394,S.Pearce,TN394,S.Pearce,CE05MOAS-G0917-04-DOSTAM000,2,1,2021-09-19T22:38:00,2021-09-21T12:53:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-DOSTAM-00891,44.642,-124.303,,200,200,On rechargeable lithium batteries,,
TN394,S.Pearce,TN394,S.Pearce,CE05MOAS-G0917-05-CTDGVM000,2,1,2021-09-19T22:38:00,2021-09-21T12:53:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-CTDGVM-09692,44.642,-124.303,,200,200,On rechargeable lithium batteries,,
PS20211129,S.Pearce,PS20211207,J.Whitefield,CE05MOAS-G0917-00-ENG000000,3,1,2021-11-29T19:10:00,2021-12-07T16:48:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGCON-GLDRCE-00917,44.639,-124.339,,200,200,,,
,,,,CE05MOAS-G0917-01-PARADM000,3,1,2021-11-29T19:10:00,2021-12-07T16:48:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-PARADM-50336,44.639,-124.339,,200,200,,,
,,,,CE05MOAS-G0917-02-FLORTM000,3,1,2021-11-29T19:10:00,2021-12-07T16:48:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-FLORTM-06744,44.639,-124.339,,200,200,,,
,,,,CE05MOAS-G0917-03-ADCPAM000,3,1,2021-11-29T19:10:00,2021-12-07T16:48:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-ADCPAM-73246,44.639,-124.339,,200,200,,,
,,,,CE05MOAS-G0917-04-DOSTAM000,3,1,2021-11-29T19:10:00,2021-12-07T16:48:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-DOSTAM-00891,44.639,-124.339,,200,200,,,
,,,,CE05MOAS-G0917-05-CTDGVM000,3,1,2021-11-29T19:10:00,2021-12-07T16:48:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00917,CGINS-CTDGVM-09692,44.639,-124.339,,200,200,,,
