CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
OC1404B,,,,CE05MOAS-GL312-00-ENG000000,1,1,2014-04-20T23:20:00,2014-07-15T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGCON-GLDRCE-00312,44.66023,-124.54882,,1000,1000,,,
OC1404B,,,,CE05MOAS-GL312-01-PARADM000,1,1,2014-04-20T23:20:00,2014-07-15T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-PARADM-50146,44.66023,-124.54882,,1000,1000,,,
OC1404B,,,,CE05MOAS-GL312-02-FLORTM000,1,1,2014-04-20T23:20:00,2014-07-15T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-FLORTM-02761,44.66023,-124.54882,,1000,1000,,,
OC1404B,,,,CE05MOAS-GL312-03-ADCPAM000,1,1,2014-04-20T23:20:00,2014-07-15T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-ADCPAM-42932,44.66023,-124.54882,,1000,1000,,,
OC1404B,,,,CE05MOAS-GL312-04-DOSTAM000,1,1,2014-04-20T23:20:00,2014-07-15T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-DOSTAM-00027,44.66023,-124.54882,,1000,1000,,,
OC1404B,,,,CE05MOAS-GL312-05-CTDGVM000,1,1,2014-04-20T23:20:00,2014-07-15T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-CTDGVM-09015,44.66023,-124.54882,,1000,1000,,,
PS1506A,,,,CE05MOAS-GL312-00-ENG000000,2,1,2015-06-03T21:52:00,2015-07-01T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGCON-GLDRCE-00312,44.64847,-124.30262,,1000,1000,,,
PS1506A,,,,CE05MOAS-GL312-01-PARADM000,2,1,2015-06-03T21:52:00,2015-07-01T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-PARADM-50146,44.64847,-124.30262,,1000,1000,,,
PS1506A,,,,CE05MOAS-GL312-02-FLORTM000,2,1,2015-06-03T21:52:00,2015-07-01T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-FLORTM-02761,44.64847,-124.30262,,1000,1000,,,
PS1506A,,,,CE05MOAS-GL312-03-ADCPAM000,2,1,2015-06-03T21:52:00,2015-07-01T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-ADCPAM-42932,44.64847,-124.30262,,1000,1000,,,
PS1506A,,,,CE05MOAS-GL312-04-DOSTAM000,2,1,2015-06-03T21:52:00,2015-07-01T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-DOSTAM-00029,44.64847,-124.30262,,1000,1000,,,
PS1506A,,,,CE05MOAS-GL312-05-CTDGVM000,2,1,2015-06-03T21:52:00,2015-07-01T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-CTDGVM-09015,44.64847,-124.30262,,1000,1000,,,
OC1601,,,,CE05MOAS-GL312-00-ENG000000,3,1,2016-01-22T21:40:00,2016-03-17T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGCON-GLDRCE-00312,44.65348,-124.28997,,1000,1000,,,
OC1601,,,,CE05MOAS-GL312-01-PARADM000,3,1,2016-01-22T21:40:00,2016-03-17T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-PARADM-50146,44.65348,-124.28997,,1000,1000,,,
OC1601,,,,CE05MOAS-GL312-02-FLORTM000,3,1,2016-01-22T21:40:00,2016-03-17T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-FLORTM-03884,44.65348,-124.28997,,1000,1000,,,
OC1601,,,,CE05MOAS-GL312-03-ADCPAM000,3,1,2016-01-22T21:40:00,2016-03-17T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-ADCPAM-42932,44.65348,-124.28997,,1000,1000,,,
OC1601,,,,CE05MOAS-GL312-04-DOSTAM000,3,1,2016-01-22T21:40:00,2016-03-17T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-DOSTAM-00029,44.65348,-124.28997,,1000,1000,,,
OC1601,,,,CE05MOAS-GL312-05-CTDGVM000,3,1,2016-01-22T21:40:00,2016-03-17T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGINS-CTDGVM-09015,44.65348,-124.28997,,1000,1000,,,
AT37-03,,,,CE05MOAS-GL312-00-ENG000000,4,1,2016-09-20T17:43:00,2016-12-15T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00312,CGCON-GLDRCE-00312,46.9744,-124.58,,1000,1000,,,
