CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,,
OC1404B,,,,CE05MOAS-GL319-00-ENG000000,1,1,2014-04-20T18:26:00,2014-05-28T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,44.71632,-124.53436,,200,200,,,
OC1404B,,,,CE05MOAS-GL319-01-PARADM000,1,1,2014-04-20T18:26:00,2014-05-28T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50147,44.71632,-124.53436,,200,200,,,
OC1404B,,,,CE05MOAS-GL319-02-FLORTM000,1,1,2014-04-20T18:26:00,2014-05-28T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-02762,44.71632,-124.53436,,200,200,,,
OC1404B,,,,CE05MOAS-GL319-03-ADCPAM000,1,1,2014-04-20T18:26:00,2014-05-28T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-42443,44.71632,-124.53436,,200,200,,,
OC1404B,,,,CE05MOAS-GL319-04-DOSTAM000,1,1,2014-04-20T18:26:00,2014-05-28T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00029,44.71632,-124.53436,,200,200,,,
OC1404B,,,,CE05MOAS-GL319-05-CTDGVM000,1,1,2014-04-20T18:26:00,2014-05-28T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09023,44.71632,-124.53436,,200,200,,,
EK20140807,,,,CE05MOAS-GL319-00-ENG000000,2,1,2014-08-07T19:35:00,2014-08-21T20:42:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,44.65,-124.116,,200,200,,,
EK20140807,,,,CE05MOAS-GL319-01-PARADM000,2,1,2014-08-07T19:35:00,2014-08-21T20:42:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50147,44.65,-124.116,,200,200,,,
EK20140807,,,,CE05MOAS-GL319-02-FLORTM000,2,1,2014-08-07T19:35:00,2014-08-21T20:42:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-02762,44.65,-124.116,,200,200,,,
EK20140807,,,,CE05MOAS-GL319-03-ADCPAM000,2,1,2014-08-07T19:35:00,2014-08-21T20:42:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-48292,44.65,-124.116,,200,200,,,
EK20140807,,,,CE05MOAS-GL319-04-DOSTAM000,2,1,2014-08-07T19:35:00,2014-08-21T20:42:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00029,44.65,-124.116,,200,200,,,
EK20140807,,,,CE05MOAS-GL319-05-CTDGVM000,2,1,2014-08-07T19:35:00,2014-08-21T20:42:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09023,44.65,-124.116,,200,200,,,
OC1510A,,,,CE05MOAS-GL319-01-PARADM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50203,44.6368,-124.30923,,200,200,,,
OC1510A,,,,CE05MOAS-GL319-02-FLORTM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-03921,44.6368,-124.30923,,200,200,,,
OC1510A,,,,CE05MOAS-GL319-03-ADCPAM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-42443,44.6368,-124.30923,,200,200,,,
OC1510A,,,,CE05MOAS-GL319-04-DOSTAM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00027,44.6368,-124.30923,,200,200,,,
OC1510A,,,,CE05MOAS-GL319-05-CTDGVM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09023,44.6368,-124.30923,,200,200,,,
PS1606,,,,CE05MOAS-GL319-00-ENG000000,4,1,2016-06-16T19:12:00,2016-06-24T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,44.64807,-124.28633,,200,200,,,
PS1606,,,,CE05MOAS-GL319-01-PARADM000,4,1,2016-06-16T19:12:00,2016-06-24T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50203,44.64807,-124.28633,,200,200,,,
PS1606,,,,CE05MOAS-GL319-02-FLORTM000,4,1,2016-06-16T19:12:00,2016-06-24T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-03921,44.64807,-124.28633,,200,200,,,
PS1606,,,,CE05MOAS-GL319-03-ADCPAM000,4,1,2016-06-16T19:12:00,2016-06-24T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-43473,44.64807,-124.28633,,200,200,,,
PS1606,,,,CE05MOAS-GL319-04-DOSTAM000,4,1,2016-06-16T19:12:00,2016-06-24T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00027,44.64807,-124.28633,,200,200,,,
PS1606,,,,CE05MOAS-GL319-05-CTDGVM000,4,1,2016-06-16T19:12:00,2016-06-24T00:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09023,44.64807,-124.28633,,200,200,,,
SKQ201704S,,DS1705A,,CE05MOAS-GL319-00-ENG000000,5,1,2017-04-10T20:34:00,2017-05-22T18:49:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,46.984,-124.547,,200,200,,,
SKQ201704S,,DS1705A,,CE05MOAS-GL319-01-PARADM000,5,1,2017-04-10T20:34:00,2017-05-22T18:49:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50158,46.984,-124.547,,200,200,,,
SKQ201704S,,DS1705A,,CE05MOAS-GL319-02-FLORTM000,5,1,2017-04-10T20:34:00,2017-05-22T18:49:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-04221,46.984,-124.547,,200,200,,,
SKQ201704S,,DS1705A,,CE05MOAS-GL319-03-ADCPAM000,5,1,2017-04-10T20:34:00,2017-05-22T18:49:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-42443,46.984,-124.547,,200,200,,,
SKQ201704S,,DS1705A,,CE05MOAS-GL319-04-DOSTAM000,5,1,2017-04-10T20:34:00,2017-05-22T18:49:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00480,46.984,-124.547,,200,200,,,
SKQ201704S,,DS1705A,,CE05MOAS-GL319-05-CTDGVM000,5,1,2017-04-10T20:34:00,2017-05-22T18:49:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09059,46.984,-124.547,,200,200,,,
ML201805B,,ML201805D,,CE05MOAS-GL319-00-ENG000000,6,1,2018-05-10T19:24:00,2018-06-01T15:22:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,44.606,-124.287,,200,200,,,
ML201805B,,ML201805D,,CE05MOAS-GL319-01-PARADM000,6,1,2018-05-10T19:24:00,2018-06-01T15:22:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50160,44.606,-124.287,,200,200,,,
ML201805B,,ML201805D,,CE05MOAS-GL319-02-FLORTM000,6,1,2018-05-10T19:24:00,2018-06-01T15:22:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-03189,44.606,-124.287,,200,200,,,
ML201805B,,ML201805D,,CE05MOAS-GL319-03-ADCPAM000,6,1,2018-05-10T19:24:00,2018-06-01T15:22:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-42443,44.606,-124.287,,200,200,,,
ML201805B,,ML201805D,,CE05MOAS-GL319-04-DOSTAM000,6,1,2018-05-10T19:24:00,2018-06-01T15:22:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00019,44.606,-124.287,,200,200,,,
ML201805B,,ML201805D,,CE05MOAS-GL319-05-CTDGVM000,6,1,2018-05-10T19:24:00,2018-06-01T15:22:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09023,44.606,-124.287,,200,200,,,
EK20180824,,MR20181116,,CE05MOAS-GL319-00-ENG000000,7,1,2018-08-24T17:36:00,2018-11-16T17:28:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,44.631,-124.286,,1000,1000,,,
EK20180824,,MR20181116,,CE05MOAS-GL319-01-PARADM000,7,1,2018-08-24T17:36:00,2018-11-16T17:28:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50195,44.631,-124.286,,1000,1000,,,
EK20180824,,MR20181116,,CE05MOAS-GL319-02-FLORTM000,7,1,2018-08-24T17:36:00,2018-11-16T17:28:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-04258,44.631,-124.286,,1000,1000,,,
EK20180824,,MR20181116,,CE05MOAS-GL319-03-ADCPAM000,7,1,2018-08-24T17:36:00,2018-11-16T17:28:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-43105,44.631,-124.286,,1000,1000,,,
EK20180824,,MR20181116,,CE05MOAS-GL319-04-DOSTAM000,7,1,2018-08-24T17:36:00,2018-11-16T17:28:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00570,44.631,-124.286,,1000,1000,,,
EK20180824,,MR20181116,,CE05MOAS-GL319-05-CTDGVM000,7,1,2018-08-24T17:36:00,2018-11-16T17:28:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09087,44.631,-124.286,,1000,1000,,,
SU20190125,,SKQ201910S,,CE05MOAS-GL319-00-ENG000000,8,1,2019-01-25T22:48:00,2019-04-21T07:12:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,44.628,-124.608,,1000,1000,,,
SU20190125,,SKQ201910S,,CE05MOAS-GL319-01-PARADM000,8,1,2019-01-25T22:48:00,2019-04-21T07:12:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50158,44.628,-124.608,,1000,1000,,,
SU20190125,,SKQ201910S,,CE05MOAS-GL319-02-FLORTM000,8,1,2019-01-25T22:48:00,2019-04-21T07:12:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-04220,44.628,-124.608,,1000,1000,,,
SU20190125,,SKQ201910S,,CE05MOAS-GL319-03-ADCPAM000,8,1,2019-01-25T22:48:00,2019-04-21T07:12:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-43105,44.628,-124.608,,1000,1000,,,
SU20190125,,SKQ201910S,,CE05MOAS-GL319-04-DOSTAM000,8,1,2019-01-25T22:48:00,2019-04-21T07:12:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00570,44.628,-124.608,,1000,1000,,,
SU20190125,,SKQ201910S,,CE05MOAS-GL319-05-CTDGVM000,8,1,2019-01-25T22:48:00,2019-04-21T07:12:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09341,44.628,-124.608,,1000,1000,,,
SKQ201921S,,SKQ201921S,,CE05MOAS-GL319-00-ENG000000,9,1,2019-10-10T04:40:00,2019-10-14T07:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,46.983,-124.563,,1000,1000,,,
SKQ201921S,,SKQ201921S,,CE05MOAS-GL319-01-PARADM000,9,1,2019-10-10T04:40:00,2019-10-14T07:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50241,46.983,-124.563,,1000,1000,,,
SKQ201921S,,SKQ201921S,,CE05MOAS-GL319-02-FLORTM000,9,1,2019-10-10T04:40:00,2019-10-14T07:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-04202,46.983,-124.563,,1000,1000,,,
SKQ201921S,,SKQ201921S,,CE05MOAS-GL319-03-ADCPAM000,9,1,2019-10-10T04:40:00,2019-10-14T07:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-42931,46.983,-124.563,,1000,1000,,,
SKQ201921S,,SKQ201921S,,CE05MOAS-GL319-04-DOSTAM000,9,1,2019-10-10T04:40:00,2019-10-14T07:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00191,46.983,-124.563,,1000,1000,,,
SKQ201921S,,SKQ201921S,,CE05MOAS-GL319-05-CTDGVM000,9,1,2019-10-10T04:40:00,2019-10-14T07:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09057,46.983,-124.563,,1000,1000,,,
EK20210120,,,,CE05MOAS-GL319-00-ENG000000,10,1,2021-01-20T19:59:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGCON-GLDRCE-00319,44.632,-124.306,,200,200,,,
EK20210120,,,,CE05MOAS-GL319-01-PARADM000,10,1,2021-01-20T19:59:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-PARADM-50157,44.632,-124.306,,200,200,,,
EK20210120,,,,CE05MOAS-GL319-02-FLORTM000,10,1,2021-01-20T19:59:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-FLORTM-04195,44.632,-124.306,,200,200,,,
EK20210120,,,,CE05MOAS-GL319-03-ADCPAM000,10,1,2021-01-20T19:59:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-ADCPAM-42443,44.632,-124.306,,200,200,,,
EK20210120,,,,CE05MOAS-GL319-04-DOSTAM000,10,1,2021-01-20T19:59:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-DOSTAM-00570,44.632,-124.306,,200,200,,,
EK20210120,,,,CE05MOAS-GL319-05-CTDGVM000,10,1,2021-01-20T19:59:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-00319,CGINS-CTDGVM-09024,44.632,-124.306,,200,200,,,
