CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
Oceanus,,,,CE05MOAS-GL312-00-ENG000000,3,1,2016-01-22T21:40:00,,N00283,A00079,OL000361,44.65348,-124.28997,,
Oceanus,,,,CE05MOAS-GL312-01-PARADM000,3,1,2016-01-22T21:40:00,,N00283,A00079,N00309,44.65348,-124.28997,,
Oceanus,,,,CE05MOAS-GL312-02-FLORTM000,3,1,2016-01-22T21:40:00,,N00283,A00079,OL000362,44.65348,-124.28997,,
Oceanus,,,,CE05MOAS-GL312-03-ADCPAM000,3,1,2016-01-22T21:40:00,,N00283,A00079,N00305,44.65348,-124.28997,,
Oceanus,,,,CE05MOAS-GL312-04-DOSTAM000,3,1,2016-01-22T21:40:00,,N00283,A00079,N00313,44.65348,-124.28997,,
Oceanus,,,,CE05MOAS-GL312-05-CTDGVM000,3,1,2016-01-22T21:40:00,,N00283,A00079,N00307,44.65348,-124.28997,,
OC1510A,,,,CE05MOAS-GL319-01-PARADM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,N00283,A00101,N00404,44.6368,-124.30923,,
OC1510A,,,,CE05MOAS-GL319-02-FLORTM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,N00283,A00101,N00405,44.6368,-124.30923,,
OC1510A,,,,CE05MOAS-GL319-03-ADCPAM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,N00283,A00101,N00310,44.6368,-124.30923,,
OC1510A,,,,CE05MOAS-GL319-04-DOSTAM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,N00283,A00101,N00308,44.6368,-124.30923,,
OC1510A,,,,CE05MOAS-GL319-05-CTDGVM000,3,1,2015-10-08T22:55:00,2015-11-22T00:00:00,N00283,A00101,N00312,44.6368,-124.30923,,
Oceanus,,,,CE05MOAS-GL326-00-ENG000000,3,1,2016-02-17T16:55:00,,N00283,A00158,OL000365,43.76075,-124.27993,,
Oceanus,,,,CE05MOAS-GL326-01-PARADM000,3,1,2016-02-17T16:55:00,,N00283,A00158,N00324,43.76075,-124.27993,,
Oceanus,,,,CE05MOAS-GL326-02-FLORTM000,3,1,2016-02-17T16:55:00,,N00283,A00158,N00321,43.76075,-124.27993,,
Oceanus,,,,CE05MOAS-GL326-03-ADCPAM000,3,1,2016-02-17T16:55:00,,N00283,A00158,N00320,43.76075,-124.27993,,
Oceanus,,,,CE05MOAS-GL326-04-DOSTAM000,3,1,2016-02-17T16:55:00,,N00283,A00158,N00323,43.76075,-124.27993,,
Oceanus,,,,CE05MOAS-GL326-05-CTDGVM000,3,1,2016-02-17T16:55:00,,N00283,A00158,N00322,43.76075,-124.27993,,
OC1510A,,,,CE05MOAS-GL386-00-ENG000000,3,1,2015-10-15T22:47:00,2015-11-22T00:00:00,N00283,A00473,OL000371,46.65598,-124.09473,,
OC1510A,,,,CE05MOAS-GL386-01-PARADM000,3,1,2015-10-15T22:47:00,2015-11-22T00:00:00,N00283,A00473,N00354,46.65598,-124.09473,,
OC1510A,,,,CE05MOAS-GL386-02-FLORTM000,3,1,2015-10-15T22:47:00,2015-11-22T00:00:00,N00283,A00473,N00351,46.65598,-124.09473,,
OC1510A,,,,CE05MOAS-GL386-03-ADCPAM000,3,1,2015-10-15T22:47:00,2015-11-22T00:00:00,N00283,A00473,N00350,46.65598,-124.09473,,
OC1510A,,,,CE05MOAS-GL386-04-DOSTAM000,3,1,2015-10-15T22:47:00,2015-11-22T00:00:00,N00283,A00473,N00353,46.65598,-124.09473,,
OC1510A,,,,CE05MOAS-GL386-05-CTDGVM000,3,1,2015-10-15T22:47:00,2015-11-22T00:00:00,N00283,A00473,N00352,46.65598,-124.09473,,
