CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
TN342,,,,CE06ISSM-MFC31-00-CPMENG000,4,1,2016-05-06T02:24:00,,OL000397,,OL000402,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD35-00-DCLENG000,4,1,2016-05-06T02:24:00,,OL000397,,OL000404,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD35-01-VEL3DD000,4,1,2016-05-06T02:24:00,,OL000397,,A00061,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD35-02-PRESFA000,4,1,2016-05-06T02:24:00,,OL000397,,A00248,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD35-04-ADCPTM000,4,1,2016-05-06T02:24:00,,OL000397,,A01052,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD35-05-PCO2WB000,4,1,2016-05-06T02:24:00,,OL000397,,A00260,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD35-06-PHSEND000,4,1,2016-05-06T02:24:00,,OL000397,,A00797,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD37-00-DCLENG000,4,1,2016-05-06T02:24:00,,OL000397,,OL000403,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD37-01-OPTAAD000,4,1,2016-05-06T02:24:00,,OL000397,,A00582,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD37-03-CTDBPC000,4,1,2016-05-06T02:24:00,,OL000397,,A01040,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD37-03-DOSTAD000,4,1,2016-05-06T02:24:00,,OL000397,,A00173,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-MFD37-07-ZPLSCC000,4,1,2016-05-06T02:24:00,,OL000397,,A01152,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-00-DCLENG000,4,1,2016-05-06T02:24:00,,OL000397,,OL000401,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-01-OPTAAD000,4,1,2016-05-06T02:24:00,,OL000397,,A00130,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-02-FLORTD000,4,1,2016-05-06T02:24:00,,OL000397,,A01229,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-03-CTDBPC000,4,1,2016-05-06T02:24:00,,OL000397,,A01090,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-03-DOSTAD000,4,1,2016-05-06T02:24:00,,OL000397,,A00803,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-04-VELPTA000,4,1,2016-05-06T02:24:00,,OL000397,,A01024,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-05-PCO2WB000,4,1,2016-05-06T02:24:00,,OL000397,,A00258,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-06-PHSEND000,4,1,2016-05-06T02:24:00,,OL000397,,A00250,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-07-NUTNRB000,4,1,2016-05-06T02:24:00,,OL000397,,A00122,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-RID16-08-SPKIRB000,4,1,2016-05-06T02:24:00,,OL000397,,A00694,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-SBC11-00-CPMENG000,4,1,2016-05-06T02:24:00,,OL000397,,OL000399,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-SBD17-00-DCLENG000,4,1,2016-05-06T02:24:00,,OL000397,,OL000400,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-SBD17-01-MOPAK0000,4,1,2016-05-06T02:24:00,,OL000397,,OL000398,47.13498,-124.27315,,29
TN342,,,,CE06ISSM-SBD17-04-VELPTA000,4,1,2016-05-06T02:24:00,,OL000397,,A01752,47.13498,-124.27315,,29
