deploymentNumber,Reference Designator,sensor.uid,startDateTime,stopDateTime,mooring.uid,node.uid,lat,lon,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,versionNumber,orbit,deployment_depth,water_depth,notes
1,CE06ISSP-SP001-00-SPPENG000,CGCON-CSPPCE-00003,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,100,29,nominal_depth
1,CE06ISSP-SP001-02-DOSTAJ000,CGINS-DOSTAJ-00353,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
1,CE06ISSP-SP001-04-OPTAAJ000,CGINS-OPTAAJ-00138,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
1,CE06ISSP-SP001-05-VELPTJ000,CGINS-VELPTJ-11900,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
1,CE06ISSP-SP001-06-NUTNRJ000,CGINS-NUTNRJ-00426,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
1,CE06ISSP-SP001-07-SPKIRJ000,CGINS-SPKIRJ-00266,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
1,CE06ISSP-SP001-08-FLORTJ000,CGINS-FLORTJ-01207,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
1,CE06ISSP-SP001-09-CTDPFJ000,CGINS-CTDPFJ-00346,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
1,CE06ISSP-SP001-10-PARADJ000,CGINS-PARADJ-00411,2015-04-10T18:10:00,2015-07-08T00:00:00,CGMCE-06ISSP-00001,CGVEH-CSPPCE-00003,47.1348,-124.27326,OC1503D,,,,1,,29,29,nominal_depth
2,CE06ISSP-SP001-00-SPPENG000,CGCON-CSPPCE-00002,2015-07-08T22:30:00,2015-08-21T00:00:00,CGMCE-06ISSP-00002,CGVEH-CSPPCE-00002,47.13102,-124.26534,ML-1507,,,,1,,100,29,nominal_depth
