CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
OC1404B,,,,CE09OSPM-SBS01-00-STCENG000,1,1,2014-04-18T00:00:00,2014-08-15T00:00:00,CGMCE-09OSPM-00001,,OL000372,46.85173,-124.97145,,0,,nominal_depth
OC1404B,,,,CE09OSPM-WFP01-00-WFPENG000,1,1,2014-04-18T00:00:00,2014-08-15T00:00:00,CGMCE-09OSPM-00001,CGVEH-CWFPCE-99103,CGCON-CWFPCE-99103,46.85173,-124.97145,,540,,nominal_depth
OC1404B,,,,CE09OSPM-WFP01-01-VEL3DK000,1,1,2014-04-18T00:00:00,2014-08-15T00:00:00,CGMCE-09OSPM-00001,CGVEH-CWFPCE-99103,CGINS-VEL3DK-00014,46.85173,-124.97145,,540,,nominal_depth
OC1404B,,,,CE09OSPM-WFP01-02-DOFSTK000,1,1,2014-04-18T00:00:00,2014-08-15T00:00:00,CGMCE-09OSPM-00001,CGVEH-CWFPCE-99103,CGINS-DOFSTK-02496,46.85173,-124.97145,,540,,nominal_depth
OC1404B,,,,CE09OSPM-WFP01-03-CTDPFK000,1,1,2014-04-18T00:00:00,2014-08-15T00:00:00,CGMCE-09OSPM-00001,CGVEH-CWFPCE-99103,CGINS-CTDPFK-00110,46.85173,-124.97145,,540,,nominal_depth
OC1404B,,,,CE09OSPM-WFP01-04-FLORTK000,1,1,2014-04-18T00:00:00,2014-08-15T00:00:00,CGMCE-09OSPM-00001,CGVEH-CWFPCE-99103,CGINS-FLORTK-01030,46.85173,-124.97145,,540,,nominal_depth
OC1404B,,,,CE09OSPM-WFP01-05-PARADK000,1,1,2014-04-18T00:00:00,2014-08-15T00:00:00,CGMCE-09OSPM-00001,CGVEH-CWFPCE-99103,CGINS-PARADK-20438,46.85173,-124.97145,,540,,nominal_depth
OC1410A,,,,CE09OSPM-SBS01-00-STCENG000,2,1,2014-10-08T19:00:00,2015-04-05T03:20:00,CGMCE-09OSPM-00002,,OL000373,46.85295,-124.9663,,0,,nominal_depth
OC1410A,,,,CE09OSPM-WFP01-00-WFPENG000,2,1,2014-10-08T19:00:00,2015-04-05T03:20:00,CGMCE-09OSPM-00002,CGVEH-CWFPCE-99104,CGCON-CWFPCE-99104,46.85295,-124.9663,,540,,nominal_depth
OC1410A,,,,CE09OSPM-WFP01-01-VEL3DK000,2,1,2014-10-08T19:00:00,2015-04-05T03:20:00,CGMCE-09OSPM-00002,CGVEH-CWFPCE-99104,CGINS-VEL3DK-00017,46.85295,-124.9663,,540,,nominal_depth
OC1410A,,,,CE09OSPM-WFP01-02-DOFSTK000,2,1,2014-10-08T19:00:00,2015-04-05T03:20:00,CGMCE-09OSPM-00002,CGVEH-CWFPCE-99104,CGINS-DOFSTK-02498,46.85295,-124.9663,,540,,nominal_depth
OC1410A,,,,CE09OSPM-WFP01-03-CTDPFK000,2,1,2014-10-08T19:00:00,2015-04-05T03:20:00,CGMCE-09OSPM-00002,CGVEH-CWFPCE-99104,CGINS-CTDPFK-00112,46.85295,-124.9663,,540,,nominal_depth
OC1410A,,,,CE09OSPM-WFP01-04-FLORTK000,2,1,2014-10-08T19:00:00,2015-04-05T03:20:00,CGMCE-09OSPM-00002,CGVEH-CWFPCE-99104,CGINS-FLORTK-01032,46.85295,-124.9663,,540,,nominal_depth
OC1410A,,,,CE09OSPM-WFP01-05-PARADK000,2,1,2014-10-08T19:00:00,2015-04-05T03:20:00,CGMCE-09OSPM-00002,CGVEH-CWFPCE-99104,CGINS-PARADK-20448,46.85295,-124.9663,,540,,nominal_depth
