CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT-27,,,,CP01CNSM-MFC31-00-CPMENG000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,OL000512,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD35-00-DCLENG000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,OL000517,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD35-01-ADCPTF000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00071,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD35-02-PRESFB000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00813,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD35-04-VELPTA000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00412,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD35-05-PCO2WB000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00999,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD35-06-PHSEND000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00097,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD37-00-DCLENG000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,OL000518,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD37-01-OPTAAD000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00996,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD37-03-CTDBPD000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00700,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD37-04-DOSTAD000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00891,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-MFD37-07-ZPLSCC000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A01109,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RIC21-00-CPMENG000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,OL000511,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID26-00-DCLENG000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,OL000515,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID26-04-VELPTA000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00411,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID26-06-PHSEND000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00096,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID26-07-NUTNRB000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00881,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID26-08-SPKIRB000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00860,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID27-00-DCLENG000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,OL000516,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID27-01-OPTAAD000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00497,40.14022,-70.77128,,135
AT-27,,,,CP01CNSM-RID27-02-FLORTD000,3,1,2015-05-07T17:34:00,2015-10-23T00:00:00,N00206,,A00085,40.14022,-70.77128,,135
