CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN214,,KN217,,CP01CNSM-MFC31-00-CPMENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-MCPM03-00002,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD35-00-DCLENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-MDCL35-00003,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD35-01-ADCPTF000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-ADCPTF-18594,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD35-02-PRESFB000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-PRESFB-01352,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD35-04-VELPTA000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-VELPTA-08550,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD35-05-PCO2WB000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-PCO2WB-C0069,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD35-06-PHSEND000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-PHSEND-P0095,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD37-00-DCLENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-MDCL37-00002,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD37-01-OPTAAD000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-OPTAAD-00129,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD37-03-CTDBPD000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-CTDBPD-07239,40.13678,-70.76978,,132.5,133.5,,,
KN214,,KN217,,CP01CNSM-MFD37-04-DOSTAD000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-DOSTAD-00132,40.13678,-70.76978,,132.5,133.5,,,
#KN214,,KN217,,CP01CNSM-MFD37-07-ZPLSCC000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,,40.13678,-70.76978,,,133.5,Not Deployed,,
KN214,,KN217,,CP01CNSM-RIC21-00-CPMENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-NCPM02-00001,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID26-00-DCLENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-NDCL26-00004,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID26-04-VELPTA000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-VELPTA-11402,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID26-06-PHSEND000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-PHSEND-P0096,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID26-07-NUTNRB000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-NUTNRB-00240,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID26-08-SPKIRB000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-SPKIRB-00238,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID27-00-DCLENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-NDCL27-00001,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID27-01-OPTAAD000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-OPTAAD-00123,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID27-02-FLORTD000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-FLORTD-00994,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID27-03-CTDBPC000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-CTDBPC-07208,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-RID27-04-DOSTAD000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-DOSTAD-00131,40.13678,-70.76978,,7,133.5,,,
KN214,,KN217,,CP01CNSM-SBC11-00-CPMENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-BCPM01-00001,40.13678,-70.76978,,0,133.5,,,
KN214,,KN217,,CP01CNSM-SBD11-00-DCLENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-BDCL11-00001,40.13678,-70.76978,,0,133.5,,,
KN214,,KN217,,CP01CNSM-SBD11-01-MOPAK0000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-MOPAK0-99999,40.13678,-70.76978,,0,133.5,,,
#KN214,,KN217,,CP01CNSM-SBD11-02-HYDGN0000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,,40.13678,-70.76978,,,133.5,Not Deployed,,
KN214,,KN217,,CP01CNSM-SBD11-06-METBKA000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-METLGR-00001,40.13678,-70.76978,,0,133.5,,,
KN214,,KN217,,CP01CNSM-SBD12-00-DCLENG000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGCON-BDCL12-00001,40.13678,-70.76978,,0,133.5,,,
#KN214,,KN217,,CP01CNSM-SBD12-03-HYDGN0000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,,40.13678,-70.76978,,,133.5,Not Deployed,,
KN214,,KN217,,CP01CNSM-SBD12-04-PCO2AA000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-PCO2AA-33154,40.13678,-70.76978,,0,133.5,,,
KN214,,KN217,,CP01CNSM-SBD12-05-WAVSSA000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-WAVSSA-04581,40.13678,-70.76978,,0,133.5,,,
KN214,,KN217,,CP01CNSM-SBD12-06-METBKA000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,CGINS-METLGR-00002,40.13678,-70.76978,,0,133.5,,,
#KN214,,KN217,,CP01CNSM-SBD12-08-FDCHPA000,1,1,2013-11-21T18:16:00,2014-04-18T10:33:00,CGMCP-01CNSM-00001,,,40.13678,-70.76978,,,133.5,Not Deployed,,
KN224,,KN224,,CP01CNSM-MFC31-00-CPMENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-MCPM03-00008,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD35-00-DCLENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-MDCL35-00007,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD35-01-ADCPTF000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-ADCPTF-18593,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD35-02-PRESFB000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-PRESFB-01386,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD35-04-VELPTA000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-VELPTA-11386,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD35-05-PCO2WB000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-PCO2WB-C0096,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD35-06-PHSEND000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-PHSEND-P0097,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD37-00-DCLENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-MDCL37-00008,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD37-01-OPTAAD000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-OPTAAD-00185,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD37-03-CTDBPD000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-CTDBPD-50008,40.1339,-70.7789,,134,135,,,
KN224,,KN224,,CP01CNSM-MFD37-04-DOSTAD000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-DOSTAD-00388,40.1339,-70.7789,,134,135,,,
#KN224,,KN224,,CP01CNSM-MFD37-07-ZPLSCC000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,,40.1339,-70.7789,,,135,Not Deployed,,
KN224,,KN224,,CP01CNSM-RIC21-00-CPMENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-NCPM02-00006,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID26-00-DCLENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-NDCL26-00007,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID26-04-VELPTA000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-VELPTA-11382,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID26-06-PHSEND000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-PHSEND-P0068,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID26-07-NUTNRB000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-NUTNRB-00269,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID26-08-SPKIRB000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-SPKIRB-00272,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID27-00-DCLENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-NDCL27-00006,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID27-01-OPTAAD000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-OPTAAD-00151,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID27-02-FLORTD000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-FLORTD-00993,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID27-03-CTDBPC000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-CTDBPC-06841,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-RID27-04-DOSTAD000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-DOSTAD-00387,40.1339,-70.7789,,7,135,,,
KN224,,KN224,,CP01CNSM-SBC11-00-CPMENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-BCPM01-00004,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD11-00-DCLENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-BDCL11-00004,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD11-01-MOPAK0000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-MOPAK0-99999,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD11-02-HYDGN0000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-HYDGN0-99999,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD11-06-METBKA000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-METLGR-00014,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD12-00-DCLENG000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGCON-BDCL12-00004,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD12-03-HYDGN0000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-HYDGN0-99999,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD12-04-PCO2AA000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-PCO2AA-34222,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD12-05-WAVSSA000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-WAVSSA-05791,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD12-06-METBKA000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-METLGR-00015,40.1339,-70.7789,,0,135,,,
KN224,,KN224,,CP01CNSM-SBD12-08-FDCHPA000,2,1,2014-12-13T18:47:00,2014-12-15T20:58:00,CGMCP-01CNSM-00002,,CGINS-FDCHPA-41005,40.1339,-70.7789,,-5,135,,,
AT27,,AT31,,CP01CNSM-MFC31-00-CPMENG000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGCON-MCPM03-00008,40.14022,-70.77128,,134,135,,,
AT27,,AT31,,CP01CNSM-MFD35-00-DCLENG000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGCON-MDCL35-00007,40.14022,-70.77128,,134,135,,,
AT27,,AT31,,CP01CNSM-MFD35-01-ADCPTF000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGINS-ADCPTF-18593,40.14022,-70.77128,,134,135,,,
AT27,,AT31,,CP01CNSM-MFD35-02-PRESFB000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGINS-PRESFB-01386,40.14022,-70.77128,,134,135,,,
AT27,,AT31,,CP01CNSM-MFD35-04-VELPTA000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGINS-VELPTA-11386,40.14022,-70.77128,,134,135,,,
AT27,,AT31,,CP01CNSM-MFD35-05-PCO2WB000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGINS-PCO2WB-C0096,40.14022,-70.77128,,134,135,,,
AT27,,AT31,,CP01CNSM-MFD35-06-PHSEND000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGINS-PHSEND-P0097,40.14022,-70.77128,,134,135,,,
AT27,,AT31,,CP01CNSM-MFD37-00-DCLENG000,3,1,2015-05-07T17:34:00,2015-10-23T19:40:00,CGMCP-01CNSM-00003,,CGCON-MDCL37-00008,40.14022,-70.77128,,134,135,,,
