CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AT27,,AT27,,CP01CNSP-SP001-00-SPPENG000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGCON-CSPPCP-00005,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-02-OPTAAJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-OPTAAJ-00181,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-03-NUTNRJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-NUTNRJ-00428,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-05-VELPTJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-VELPTJ-11915,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-06-DOSTAJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-DOSTAJ-00351,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-07-SPKIRJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-SPKIRJ-00265,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-08-CTDPFJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-CTDPFJ-00347,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-09-FLORTJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-FLORTJ-01205,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-10-PARADJ000,1,1,2015-05-07T19:22:30,2015-05-07T19:30:00,CGMCP-01CNSP-00001,CGVEH-CSPPCP-00005,CGINS-PARADJ-00437,40.13892,-70.779507,,101,133,Found on surface shortly after deployment; recovered to investigate,,
AT27,,AT27,,CP01CNSP-SP001-00-SPPENG000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGCON-CSPPCP-00005,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-02-OPTAAJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-OPTAAJ-00181,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-03-NUTNRJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-NUTNRJ-00428,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-05-VELPTJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-VELPTJ-11915,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-06-DOSTAJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-DOSTAJ-00351,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-07-SPKIRJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-SPKIRJ-00265,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-08-CTDPFJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-CTDPFJ-00347,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-09-FLORTJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-FLORTJ-01205,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-10-PARADJ000,2,1,2015-05-08T01:28:30,2015-05-10T16:11:00,CGMCP-01CNSP-00002,CGVEH-CSPPCP-00005,CGINS-PARADJ-00437,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
AT27,,AT27,,CP01CNSP-SP001-00-SPPENG000,3,1,2015-05-13T12:55:00,2015-05-13T13:29:00,CGMCP-01CNSP-00003,CGVEH-CSPPCP-00005,CGCON-CSPPCP-00005,40.139125,-70.779998,,101,133,Malfunction; recovered for corrective action,,
