CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN217,,KN222,,CP02PMCI-RII01-02-ADCPTG010,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,,CGINS-ADCPTG-18596,40.22665,-70.88858,,105,127,,,
KN217,,KN222,,CP02PMCI-SBS01-00-STCENG000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,,CGCON-BSTC01-00008,40.22665,-70.88858,,0,127,,,
KN217,,KN222,,CP02PMCI-SBS01-01-MOPAK0000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,,CGINS-MOPAK0-11364,40.22665,-70.88858,,0,127,,,
KN217,,KN222,,CP02PMCI-WFP01-00-WFPENG000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,CGVEH-CWFPCP-10302,CGCON-CWFPCP-10302,40.22665,-70.88858,,104,127,,,
KN217,,KN222,,CP02PMCI-WFP01-01-VEL3DK000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,CGVEH-CWFPCP-10302,CGINS-VEL3DK-00037,40.22665,-70.88858,,104,127,,,
KN217,,KN222,,CP02PMCI-WFP01-02-DOFSTK000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,CGVEH-CWFPCP-10302,CGINS-DOFSTK-02724,40.22665,-70.88858,,104,127,,,
KN217,,KN222,,CP02PMCI-WFP01-03-CTDPFK000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,CGVEH-CWFPCP-10302,CGINS-CTDPFK-00125,40.22665,-70.88858,,104,127,,,
KN217,,KN222,,CP02PMCI-WFP01-04-FLORTK000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,CGVEH-CWFPCP-10302,CGINS-FLORTK-01119,40.22665,-70.88858,,104,127,,,
KN217,,KN222,,CP02PMCI-WFP01-05-PARADK000,1,1,2014-04-16T23:28:00,2014-10-10T12:02:00,CGMCP-02PMCI-00001,CGVEH-CWFPCP-10302,CGINS-PARADK-20465,40.22665,-70.88858,,104,127,,,
KN222,,KN224,,CP02PMCI-RII01-02-ADCPTG010,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,,CGINS-ADCPTG-20495,40.22653,-70.87795,,105,127,,,
KN222,,KN224,,CP02PMCI-SBS01-00-STCENG000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,,CGCON-BSTC01-00013,40.22653,-70.87795,,0,127,,,
KN222,,KN224,,CP02PMCI-SBS01-01-MOPAK0000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,,CGINS-MOPAK0-11360,40.22653,-70.87795,,0,127,,,
KN222,,KN224,,CP02PMCI-WFP01-00-WFPENG000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,CGVEH-CWFPCP-99102,CGCON-CWFPCP-99102,40.22653,-70.87795,,104,127,,,
KN222,,KN224,,CP02PMCI-WFP01-01-VEL3DK000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,CGVEH-CWFPCP-99102,CGINS-VEL3DK-00013,40.22653,-70.87795,,104,127,,,
KN222,,KN224,,CP02PMCI-WFP01-02-DOFSTK000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,CGVEH-CWFPCP-99102,CGINS-DOFSTK-02499,40.22653,-70.87795,,104,127,,,
KN222,,KN224,,CP02PMCI-WFP01-03-CTDPFK000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,CGVEH-CWFPCP-99102,CGINS-CTDPFK-00113,40.22653,-70.87795,,104,127,,,
KN222,,KN224,,CP02PMCI-WFP01-04-FLORTK000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,CGVEH-CWFPCP-99102,CGINS-FLORTK-01031,40.22653,-70.87795,,104,127,,,
KN222,,KN224,,CP02PMCI-WFP01-05-PARADK000,2,1,2014-10-10T18:11:00,2014-12-15T14:00:00,CGMCP-02PMCI-00002,CGVEH-CWFPCP-99102,CGINS-PARADK-20447,40.22653,-70.87795,,104,127,,,
AT27,,AT31,,CP02PMCI-RII01-02-ADCPTG010,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,,CGINS-ADCPTG-19151,40.2267,-70.88882,,106,128,,,
AT27,,AT31,,CP02PMCI-SBS01-00-STCENG000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,,CGCON-BSTC01-00008,40.2267,-70.88882,,0,128,,,
AT27,,AT31,,CP02PMCI-SBS01-01-MOPAK0000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,,CGINS-MOPAK0-11364,40.2267,-70.88882,,0,128,,,
AT27,,AT31,,CP02PMCI-WFP01-00-WFPENG000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,CGVEH-CWFPCP-10302,CGCON-CWFPCP-10302,40.2267,-70.88882,,105,128,,,
AT27,,AT31,,CP02PMCI-WFP01-01-VEL3DK000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,CGVEH-CWFPCP-10302,CGINS-VEL3DK-00037,40.2267,-70.88882,,105,128,,,
AT27,,AT31,,CP02PMCI-WFP01-02-DOFSTK000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,CGVEH-CWFPCP-10302,CGINS-DOFSTK-02724,40.2267,-70.88882,,105,128,,,
AT27,,AT31,,CP02PMCI-WFP01-03-CTDPFK000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,CGVEH-CWFPCP-10302,CGINS-CTDPFK-00125,40.2267,-70.88882,,105,128,,,
AT27,,AT31,,CP02PMCI-WFP01-04-FLORTK000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,CGVEH-CWFPCP-10302,CGINS-FLORTK-01119,40.2267,-70.88882,,105,128,,,
AT27,,AT31,,CP02PMCI-WFP01-05-PARADK000,3,1,2015-05-01T02:58:00,2015-10-15T12:03:00,CGMCP-02PMCI-00003,CGVEH-CWFPCP-10302,CGINS-PARADK-20465,40.2267,-70.88882,,105,128,,,
AT31,,AR4,,CP02PMCI-RII01-02-ADCPTG010,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,,CGINS-ADCPTG-20495,40.22672,-70.8779,,105,127,,,
AT31,,AR4,,CP02PMCI-SBS01-00-STCENG000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,,CGCON-BSTC01-00013,40.22672,-70.8779,,0,127,,,
AT31,,AR4,,CP02PMCI-SBS01-01-MOPAK0000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,,CGINS-MOPAK0-11360,40.22672,-70.8779,,0,127,,,
AT31,,AR4,,CP02PMCI-WFP01-00-WFPENG000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,CGVEH-CWFPCP-10301,CGCON-CWFPCP-10301,40.22672,-70.8779,,104,127,,,
AT31,,AR4,,CP02PMCI-WFP01-01-VEL3DK000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,CGVEH-CWFPCP-10301,CGINS-VEL3DK-00035,40.22672,-70.8779,,104,127,,,
AT31,,AR4,,CP02PMCI-WFP01-02-DOFSTK000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,CGVEH-CWFPCP-10301,CGINS-DOFSTK-02708,40.22672,-70.8779,,104,127,,,
AT31,,AR4,,CP02PMCI-WFP01-03-CTDPFK000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,CGVEH-CWFPCP-10301,CGINS-CTDPFK-00124,40.22672,-70.8779,,104,127,,,
AT31,,AR4,,CP02PMCI-WFP01-04-FLORTK000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,CGVEH-CWFPCP-10301,CGINS-FLORTK-01117,40.22672,-70.8779,,104,127,,,
AT31,,AR4,,CP02PMCI-WFP01-05-PARADK000,4,1,2015-10-15T18:11:00,2016-05-20T19:14:00,CGMCP-02PMCI-00004,CGVEH-CWFPCP-10301,CGINS-PARADK-20464,40.22672,-70.8779,,104,127,,,
AR4,,AR4,,CP02PMCI-RII01-02-ADCPTG010,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,,CGINS-ADCPTG-19151,40.22655,-70.88897,,106,128,,,
AR4,,AR4,,CP02PMCI-SBS01-00-STCENG000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,,CGCON-BSTC01-00008,40.22655,-70.88897,,0,128,,,
AR4,,AR4,,CP02PMCI-SBS01-01-MOPAK0000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,,CGINS-MOPAK0-11364,40.22655,-70.88897,,0,128,,,
AR4,,AR4,,CP02PMCI-WFP01-00-WFPENG000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,CGVEH-CWFPCP-99102,CGCON-CWFPCP-99102,40.22655,-70.88897,,105,128,,,
AR4,,AR4,,CP02PMCI-WFP01-01-VEL3DK000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,CGVEH-CWFPCP-99102,CGINS-VEL3DK-00013,40.22655,-70.88897,,105,128,,,
AR4,,AR4,,CP02PMCI-WFP01-02-DOFSTK000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,CGVEH-CWFPCP-99102,CGINS-DOFSTK-02499,40.22655,-70.88897,,105,128,,,
AR4,,AR4,,CP02PMCI-WFP01-03-CTDPFK000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,CGVEH-CWFPCP-99102,CGINS-CTDPFK-00113,40.22655,-70.88897,,105,128,,,
AR4,,AR4,,CP02PMCI-WFP01-04-FLORTK000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,CGVEH-CWFPCP-99102,CGINS-FLORTK-01031,40.22655,-70.88897,,105,128,,,
AR4,,AR4,,CP02PMCI-WFP01-05-PARADK000,5,1,2016-05-21T00:18:00,2016-05-30T12:05:00,CGMCP-02PMCI-00005,CGVEH-CWFPCP-99102,CGINS-PARADK-20447,40.22655,-70.88897,,105,128,,,
AR7-01,,AR8,,CP02PMCI-RII01-02-ADCPTG010,6,1,2016-07-01T17:53:00,2016-10-02T20:32:00,CGMCP-02PMCI-00006,,CGINS-ADCPTG-19151,40.22691,-70.8894,,105,127,,,
AR7-01,,AR8,,CP02PMCI-SBS01-00-STCENG000,6,1,2016-07-01T17:53:00,2016-10-02T20:32:00,CGMCP-02PMCI-00006,,CGCON-BSTC01-00008,40.22691,-70.8894,,0,127,,,
AR7-01,,AR8,,CP02PMCI-SBS01-01-MOPAK0000,6,1,2016-07-01T17:53:00,2016-10-02T20:32:00,CGMCP-02PMCI-00006,,CGINS-MOPAK0-11364,40.22691,-70.8894,,0,127,,,
AR7-01,,AR8,,CP02PMCI-WFP01-00-WFPENG000,6,1,2016-07-01T17:53:00,2016-10-02T20:32:00,CGMCP-02PMCI-00006,CGVEH-CWFPCP-93601,CGCON-CWFPCP-93601,40.22691,-70.8894,,104,127,,,
AR7-01,,AR8,,CP02PMCI-WFP01-01-VEL3DK000,6,1,2016-07-01T17:53:00,2016-10-02T20:32:00,CGMCP-02PMCI-00006,CGVEH-CWFPCP-93601,CGINS-VEL3DK-00022,40.22691,-70.8894,,104,127,,,
AR7-01,,AR8,,CP02PMCI-WFP01-02-DOFSTK000,6,1,2016-07-01T17:53:00,2016-10-02T20:32:00,CGMCP-02PMCI-00006,CGVEH-CWFPCP-93601,CGINS-DOFSTK-02397,40.22691,-70.8894,,104,127,,,
AR7-01,,AR8,,CP02PMCI-WFP01-03-CTDPFK000,6,1,2016-07-01T17:53:00,2016-10-02T20:32:00,CGMCP-02PMCI-00006,CGVEH-CWFPCP-93601,CGINS-CTDPFK-00106,40.22691,-70.8894,,104,127,,,
