CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
KN-217,,KN-222,,CP02PMCO-RII01-02-ADCPTG010,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,,CGINS-ADCPTG-19151,40.09605,-70.87972,,125,148,nominal_depth
KN-217,,KN-222,,CP02PMCO-SBS01-01-MOPAK0000,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,,CGINS-MOPAK0-27203,40.09605,-70.87972,,0,148,nominal_depth
KN-217,,KN-222,,CP02PMCO-WFP01-00-WFPENG000,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,CGVEH-CWFPCP-10301,CGCON-CWFPCP-10301,40.09605,-70.87972,,425,148,nominal_depth
KN-217,,KN-222,,CP02PMCO-WFP01-01-VEL3DK000,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,CGVEH-CWFPCP-10301,CGINS-VEL3DK-00035,40.09605,-70.87972,,125,148,nominal_depth
KN-217,,KN-222,,CP02PMCO-WFP01-02-DOFSTK000,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,CGVEH-CWFPCP-10301,CGINS-DOFSTK-02708,40.09605,-70.87972,,125,148,nominal_depth
KN-217,,KN-222,,CP02PMCO-WFP01-03-CTDPFK000,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,CGVEH-CWFPCP-10301,CGINS-CTDPFK-00124,40.09605,-70.87972,,125,148,nominal_depth
KN-217,,KN-222,,CP02PMCO-WFP01-04-FLORTK000,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,CGVEH-CWFPCP-10301,CGINS-FLORTK-01117,40.09605,-70.87972,,125,148,nominal_depth
KN-217,,KN-222,,CP02PMCO-WFP01-05-PARADK000,1,1,2014-04-13T17:50:00,2014-10-07T00:00:00,CGMCP-02PMCO-00001,CGVEH-CWFPCP-10301,CGINS-PARADK-20464,40.09605,-70.87972,,125,148,nominal_depth
KN-222,,AT-27,,CP02PMCO-RII01-02-ADCPTG010,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,,CGINS-ADCPTG-19336,40.10123,-70.88768,,125,147,nominal_depth
KN-222,,AT-27,,CP02PMCO-SBS01-01-MOPAK0000,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,,CGINS-MOPAK0-24112,40.10123,-70.88768,,0,147,nominal_depth
KN-222,,AT-27,,CP02PMCO-WFP01-00-WFPENG000,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,CGVEH-CWFPCP-99101,CGCON-CWFPCP-99101,40.10123,-70.88768,,425,147,nominal_depth
KN-222,,AT-27,,CP02PMCO-WFP01-01-VEL3DK000,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,CGVEH-CWFPCP-99101,CGINS-VEL3DK-00015,40.10123,-70.88768,,125,147,nominal_depth
KN-222,,AT-27,,CP02PMCO-WFP01-02-DOFSTK000,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,CGVEH-CWFPCP-99101,CGINS-DOFSTK-02497,40.10123,-70.88768,,125,147,nominal_depth
KN-222,,AT-27,,CP02PMCO-WFP01-03-CTDPFK000,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,CGVEH-CWFPCP-99101,CGINS-CTDPFK-00111,40.10123,-70.88768,,125,147,nominal_depth
KN-222,,AT-27,,CP02PMCO-WFP01-04-FLORTK000,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,CGVEH-CWFPCP-99101,CGINS-FLORTK-01029,40.10123,-70.88768,,125,147,nominal_depth
KN-222,,AT-27,,CP02PMCO-WFP01-05-PARADK000,2,1,2014-10-07T19:26:00,2015-05-01T00:00:00,CGMCP-02PMCO-00002,CGVEH-CWFPCP-99101,CGINS-PARADK-20437,40.10123,-70.88768,,125,147,nominal_depth
AT-27,,AT-31,,CP02PMCO-RII01-02-ADCPTG010,3,1,2015-05-01T18:34:00,2015-10-14T12:33:00,CGMCP-02PMCO-00003,,CGINS-ADCPTG-18660,40.09668,-70.8794,,125,147,nominal_depth
AT-27,,AT-31,,CP02PMCO-SBS01-01-MOPAK0000,3,1,2015-05-01T18:34:00,2015-10-14T12:33:00,CGMCP-02PMCO-00003,,CGINS-MOPAK0-27201,40.09668,-70.8794,,0,147,nominal_depth
AT-27,,AT-31,,CP02PMCO-WFP01-00-WFPENG000,3,1,2015-05-01T18:34:00,2015-10-14T12:33:00,CGMCP-02PMCO-00003,CGVEH-CWFPCP-10305,CGCON-CWFPCP-10305,40.09668,-70.8794,,425,147,nominal_depth
