CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN214,,KN217,,CP02PMUI-RII01-02-ADCPTG010,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,,CGINS-ADCPTG-19336,40.36341,-70.77599,,70,93,,,
KN214,,KN217,,CP02PMUI-SBS01-00-STCENG000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,,CGCON-BSTC01-00006,40.36341,-70.77599,,0,93,,,
KN214,,KN217,,CP02PMUI-SBS01-01-MOPAK0000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,,CGINS-MOPAK0-11363,40.36341,-70.77599,,0,93,,,
KN214,,KN217,,CP02PMUI-WFP01-00-WFPENG000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,CGVEH-CWFPCP-99101,CGCON-CWFPCP-99101,40.36341,-70.77599,,69,93,,,
KN214,,KN217,,CP02PMUI-WFP01-01-VEL3DK000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,CGVEH-CWFPCP-99101,CGINS-VEL3DK-00015,40.36341,-70.77599,,69,93,,,
KN214,,KN217,,CP02PMUI-WFP01-02-DOFSTK000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,CGVEH-CWFPCP-99101,CGINS-DOFSTK-02497,40.36341,-70.77599,,69,93,,,
KN214,,KN217,,CP02PMUI-WFP01-03-CTDPFK000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,CGVEH-CWFPCP-99101,CGINS-CTDPFK-00111,40.36341,-70.77599,,69,93,,,
KN214,,KN217,,CP02PMUI-WFP01-04-FLORTK000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,CGVEH-CWFPCP-99101,CGINS-FLORTK-01029,40.36341,-70.77599,,69,93,,,
KN214,,KN217,,CP02PMUI-WFP01-05-PARADK000,1,1,2013-11-23T23:16:00,2014-04-12T20:06:00,CGMCP-02PMUI-00001,CGVEH-CWFPCP-99101,CGINS-PARADK-20437,40.36341,-70.77599,,69,93,,,
KN217,,KN222,,CP02PMUI-RII01-02-ADCPTG010,2,1,2014-04-12T16:42:00,2014-10-09T11:58:00,CGMCP-02PMUI-00002,,CGINS-ADCPTG-20499,40.36495,-70.76935,,72,95,,,
KN217,,KN222,,CP02PMUI-SBS01-00-STCENG000,2,1,2014-04-12T16:42:00,2014-10-09T11:58:00,CGMCP-02PMUI-00002,,CGCON-BSTC01-00007,40.36495,-70.76935,,0,95,,,
KN217,,KN222,,CP02PMUI-SBS01-01-MOPAK0000,2,1,2014-04-12T16:42:00,2014-10-09T11:58:00,CGMCP-02PMUI-00002,,CGINS-MOPAK0-11345,40.36495,-70.76935,,0,95,,,
