CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN214,,KN214,,CP02PMUO-RII01-02-ADCPSL010,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,,CGINS-ADCPSL-18445,39.94157,-70.77971,,422,445,,,
KN214,,KN214,,CP02PMUO-SBS01-00-STCENG000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,,CGCON-BSTC01-00005,39.94157,-70.77971,,0,445,,,
KN214,,KN214,,CP02PMUO-SBS01-01-MOPAK0000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,,CGINS-MOPAK0-11358,39.94157,-70.77971,,0,445,,,
KN214,,KN214,,CP02PMUO-WFP01-00-WFPENG000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,CGVEH-CWFPCP-93601,CGCON-CWFPCP-93601,39.94157,-70.77971,,421,445,,,
KN214,,KN214,,CP02PMUO-WFP01-01-VEL3DK000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,CGVEH-CWFPCP-93601,CGINS-VEL3DK-00022,39.94157,-70.77971,,421,445,,,
KN214,,KN214,,CP02PMUO-WFP01-02-DOFSTK000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,CGVEH-CWFPCP-93601,CGINS-DOFSTK-02397,39.94157,-70.77971,,421,445,,,
KN214,,KN214,,CP02PMUO-WFP01-03-CTDPFK000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,CGVEH-CWFPCP-93601,CGINS-CTDPFK-00106,39.94157,-70.77971,,421,445,,,
KN214,,KN214,,CP02PMUO-WFP01-04-FLORTK000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,CGVEH-CWFPCP-93601,CGINS-FLORTK-00969,39.94157,-70.77971,,421,445,,,
KN214,,KN214,,CP02PMUO-WFP01-05-PARADK000,1,1,2013-11-23T15:50:00,2013-11-25T17:09:00,CGMCP-02PMUO-00001,CGVEH-CWFPCP-93601,CGINS-PARADK-20423,39.94157,-70.77971,,421,445,,,
KN214,,KN217,,CP02PMUO-RII01-02-ADCPSL010,2,1,2013-11-25T20:58:00,2014-04-14T21:31:00,CGMCP-02PMUO-00002,,CGINS-ADCPSL-18445,39.93798,-70.76908,,427,450,,,
