CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AR-24,,AR-28,,CP03ISPM-RII01-02-ADCPTG010,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,,CGINS-ADCPTG-20496,40.36473333,-70.88816667,,71,91,
AR-24,,AR-28,,CP03ISPM-SBS01-00-STCENG000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,,CGCON-BSTC01-00018,40.36473333,-70.88816667,,0,91,
AR-24,,AR-28,,CP03ISPM-SBS01-01-MOPAK0000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,,CGINS-MOPAK0-58481,40.36473333,-70.88816667,,0,91,
AR-24,,AR-28,,CP03ISPM-WFP01-00-WFPENG000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,CGVEH-CWFPCP-30001,CGCON-CWFPCP-30001,40.36473333,-70.88816667,,70,91,
AR-24,,AR-28,,CP03ISPM-WFP01-01-VEL3DK000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,CGVEH-CWFPCP-30001,CGINS-VEL3DK-00468,40.36473333,-70.88816667,,70,91,
AR-24,,AR-28,,CP03ISPM-WFP01-02-DOFSTK000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,CGVEH-CWFPCP-30001,CGINS-DOFSTK-03506,40.36473333,-70.88816667,,70,91,
AR-24,,AR-28,,CP03ISPM-WFP01-03-CTDPFK000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,CGVEH-CWFPCP-30001,CGINS-CTDPFK-00184,40.36473333,-70.88816667,,70,91,
AR-24,,AR-28,,CP03ISPM-WFP01-04-FLORTK000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,CGVEH-CWFPCP-30001,CGINS-FLORTK-01537,40.36473333,-70.88816667,,70,91,
AR-24,,AR-28,,CP03ISPM-WFP01-05-PARADK000,1,1,2017-11-12T03:26:00,2018-04-11T19:06:00,CGMCP-03ISPM-00001,CGVEH-CWFPCP-30001,CGINS-PARADK-20541,40.36473333,-70.88816667,,70,91,
AR-31,,AR-34,,CP03ISPM-RII01-02-ADCPTG010,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,,CGINS-ADCPTG-18660,40.36258,-70.8787,,72,92,
AR-31,,AR-34,,CP03ISPM-SBS01-00-STCENG000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,,CGCON-BSTC01-00018,40.36258,-70.8787,,0,92,
AR-31,,AR-34,,CP03ISPM-SBS01-01-MOPAK0000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,,CGINS-MOPAK0-58481,40.36258,-70.8787,,0,92,
AR-31,,AR-34,,CP03ISPM-WFP01-00-WFPENG000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,CGVEH-CWFPCP-30001,CGCON-CWFPCP-30001,40.36258,-70.8787,,71,92,
AR-31,,AR-34,,CP03ISPM-WFP01-01-VEL3DK000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,CGVEH-CWFPCP-30001,CGINS-VEL3DK-00468,40.36258,-70.8787,,71,92,
AR-31,,AR-34,,CP03ISPM-WFP01-02-DOFSTK000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,CGVEH-CWFPCP-30001,CGINS-DOFSTK-03506,40.36258,-70.8787,,71,92,
AR-31,,AR-34,,CP03ISPM-WFP01-03-CTDPFK000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,CGVEH-CWFPCP-30001,CGINS-CTDPFK-00184,40.36258,-70.8787,,71,92,
AR-31,,AR-34,,CP03ISPM-WFP01-04-FLORTK000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,CGVEH-CWFPCP-30001,CGINS-FLORTK-01537,40.36258,-70.8787,,71,92,
AR-31,,AR-34,,CP03ISPM-WFP01-05-PARADK000,2,1,2018-10-23T02:55:00,2019-04-17T11:39:00,CGMCP-03ISPM-00002,CGVEH-CWFPCP-30001,CGINS-PARADK-20541,40.36258,-70.8787,,71,92,
