CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
KN-224,,,,CP03ISSM-MFC31-00-CPMENG000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,OL000568,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD35-00-DCLENG000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,OL000573,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD35-01-ADCPTF000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-ADCPTF-19221,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD35-02-PRESFB000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-PRESFB-01387,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD35-04-VELPTA000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-VELPTA-11412,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD35-05-PCO2WB000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-PCO2WB-C0071,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD35-06-PHSEND000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-PHSEND-P0069,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD37-00-DCLENG000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,OL000574,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD37-01-OPTAAD000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,A00572,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD37-03-CTDBPD000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-CTDBPD-07209,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-MFD37-04-DOSTAD000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-DOSTAD-00390,40.36222,-70.87862,,91.5,94,nominal_depth
KN-224,,,,CP03ISSM-RIC21-00-CPMENG000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,OL000567,40.36222,-70.87862,,7,94,nominal_depth
KN-224,,,,CP03ISSM-RID26-00-DCLENG000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,OL000571,40.36222,-70.87862,,7,94,nominal_depth
KN-224,,,,CP03ISSM-RID26-04-VELPTA000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-VELPTA-11397,40.36222,-70.87862,,7,94,nominal_depth
KN-224,,,,CP03ISSM-RID26-06-PHSEND000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-PHSEND-P0087,40.36222,-70.87862,,7,94,nominal_depth
KN-224,,,,CP03ISSM-RID26-07-NUTNRB000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-NUTNRB-00268,40.36222,-70.87862,,7,94,nominal_depth
KN-224,,,,CP03ISSM-RID26-08-SPKIRB000,1,1,2014-12-14T18:52:00,2014-12-30T00:00:00,N00241,,CGINS-SPKIRB-00240,40.36222,-70.87862,,7,94,nominal_depth
