CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,,
KN224,,SI20150110,,CP03ISSP-SP001-00-SPPENG000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGCON-CSPPCP-00004,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-02-OPTAAJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-OPTAAJ-00145,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-03-NUTNRJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-NUTNRJ-00427,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-05-VELPTJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-VELPTJ-11916,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-06-DOSTAJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-DOSTAJ-00350,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-07-SPKIRJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-SPKIRJ-00263,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-08-CTDPFJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-CTDPFJ-00348,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-09-FLORTJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-FLORTJ-01208,40.36477,-70.8883,,79,93,,,
KN224,,SI20150110,,CP03ISSP-SP001-10-PARADJ000,1,1,2014-12-14T23:30:00,2015-01-11T03:30:00,CGMCP-03ISSP-00001,CGVEH-CSPPCP-00004,CGINS-PARADJ-00407,40.36477,-70.8883,,79,93,,,
AT27,,CT20150612,,CP03ISSP-SP001-00-SPPENG000,2,1,2015-05-11T19:29:00,2015-06-12T12:00:00,CGMCP-03ISSP-00002,CGVEH-CSPPCP-00004,CGCON-CSPPCP-00004,40.3646,-70.88872,,79,96,,,
