CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT-27,,,,CP04OSSM-MFC31-00-CPMENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000544,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD35-00-DCLENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000549,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD35-01-ADCPSJ000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01221,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD35-02-PRESFC000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01187,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD35-04-VELPTB000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A00049,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD35-05-PCO2WB000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01156,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD35-06-PHSEND000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01346,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD37-00-DCLENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000550,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD37-01-OPTAAD000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01329,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD37-03-CTDBPE000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01091,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-MFD37-04-DOSTAD000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01235,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RIC21-00-CPMENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000543,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID26-00-DCLENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000547,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID26-04-VELPTA000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A00410,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID26-06-PHSEND000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01345,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID26-07-NUTNRB000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A00384,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID26-08-SPKIRB000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A00977,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID27-00-DCLENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000548,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID27-01-OPTAAD000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01328,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID27-02-FLORTD000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A00084,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID27-03-CTDBPC000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A00082,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-RID27-04-DOSTAD000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01234,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-SBC11-00-CPMENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000542,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-SBD11-00-DCLENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000545,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-SBD11-01-MOPAK0000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000539,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-SBD11-06-METBKA000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,N00754,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-SBD12-00-DCLENG000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,OL000546,39.94063,-70.87855,,442.0
AT-27,,,,CP04OSSM-SBD12-04-PCO2AA000,2,1,2015-05-09T01:04:00,2015-10-23T00:00:00,N00203,,A01232,39.94063,-70.87855,,442.0
