CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN224,,AT27,,CP04OSSM-MFC31-00-CPMENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-MCPM03-00007,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD35-00-DCLENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-MDCL35-00009,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD35-01-ADCPSJ000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-ADCPSJ-21496,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD35-02-PRESFC000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-PRESFC-01388,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD35-04-VELPTB000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-VELPTB-09952,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD35-05-PCO2WB000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-PCO2WB-C0097,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD35-06-PHSEND000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-PHSEND-P0099,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD37-00-DCLENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-MDCL37-00007,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD37-01-OPTAAD000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-OPTAAD-00189,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD37-03-CTDBPE000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-CTDBPC-50002,39.93617,-70.8803,,454,455,,,
KN224,,AT27,,CP04OSSM-MFD37-04-DOSTAD000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-DOSTAD-00376,39.93617,-70.8803,,454,455,,,
#KN224,,AT27,,CP04OSSM-MFD37-07-ZPLSCC000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,,39.93617,-70.8803,,,455,Not Deployed,,
KN224,,AT27,,CP04OSSM-RIC21-00-CPMENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-NCPM02-00004,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID26-00-DCLENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-NDCL26-00013,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID26-04-VELPTA000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-VELPTA-11417,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID26-06-PHSEND000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-PHSEND-P0098,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID26-07-NUTNRB000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-NUTNRB-00266,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID26-08-SPKIRB000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-SPKIRB-00271,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID27-00-DCLENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-NDCL27-00004,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID27-01-OPTAAD000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-OPTAAD-00165,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID27-02-FLORTD000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-FLORTD-01221,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID27-03-CTDBPC000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-CTDBPE-50004,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-RID27-04-DOSTAD000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-DOSTAD-00375,39.93617,-70.8803,,7,455,,,
KN224,,AT27,,CP04OSSM-SBC11-00-CPMENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-BCPM01-00006,39.93617,-70.8803,,0,455,,,
KN224,,AT27,,CP04OSSM-SBD11-00-DCLENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-BDCL11-00006,39.93617,-70.8803,,0,455,,,
KN224,,AT27,,CP04OSSM-SBD11-01-MOPAK0000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-MOPAK0-99999,39.93617,-70.8803,,0,455,,,
KN224,,AT27,,CP04OSSM-SBD11-02-HYDGN0000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-HYDGN0-99999,39.93617,-70.8803,,0,455,,,
KN224,,AT27,,CP04OSSM-SBD11-06-METBKA000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-METLGR-00016,39.93617,-70.8803,,0,455,,,
KN224,,AT27,,CP04OSSM-SBD12-00-DCLENG000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGCON-BDCL12-00006,39.93617,-70.8803,,0,455,,,
KN224,,AT27,,CP04OSSM-SBD12-03-HYDGN0000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-HYDGN0-99999,39.93617,-70.8803,,0,455,,,
KN224,,AT27,,CP04OSSM-SBD12-04-PCO2AA000,1,1,2014-12-12T21:47:00,2015-05-10T19:57:00,CGMCP-04OSSM-00001,,CGINS-PCO2AA-33184,39.93617,-70.8803,,0,455,,,
AT27,,AT31,,CP04OSSM-MFC31-00-CPMENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-MCPM03-00013,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD35-00-DCLENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-MDCL35-00013,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD35-01-ADCPSJ000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-ADCPSJ-22642,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD35-02-PRESFC000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-PRESFC-01400,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD35-04-VELPTB000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-VELPTB-09984,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD35-05-PCO2WB000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-PCO2WB-C0099,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD35-06-PHSEND000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-PHSEND-P0156,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD37-00-DCLENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-MDCL37-00013,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD37-01-OPTAAD000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-OPTAAD-00241,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD37-03-CTDBPE000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-CTDBPE-50067,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD37-04-DOSTAD000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-DOSTAD-00412,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-MFD37-07-ZPLSCC000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-ZPLSCC-55077,39.94063,-70.87855,,441,442,,,
AT27,,AT31,,CP04OSSM-RIC21-00-CPMENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-NCPM02-00009,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID26-00-DCLENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-NDCL26-00015,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID26-04-VELPTA000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-VELPTA-11377,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID26-06-PHSEND000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-PHSEND-P0155,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID26-07-NUTNRB000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-NUTNRB-00261,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID26-08-SPKIRB000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-SPKIRB-00274,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID27-00-DCLENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-NDCL27-00009,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID27-01-OPTAAD000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-OPTAAD-00240,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID27-02-FLORTD000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-FLORTD-00994,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID27-03-CTDBPC000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-CTDBPC-07208,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-RID27-04-DOSTAD000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-DOSTAD-00410,39.94063,-70.87855,,7,442,,,
AT27,,AT31,,CP04OSSM-SBC11-00-CPMENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-BCPM01-00007,39.94063,-70.87855,,0,442,,,
AT27,,AT31,,CP04OSSM-SBD11-00-DCLENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-BDCL11-00007,39.94063,-70.87855,,0,442,,,
AT27,,AT31,,CP04OSSM-SBD11-01-MOPAK0000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-MOPAK0-99999,39.94063,-70.87855,,0,442,,,
AT27,,AT31,,CP04OSSM-SBD11-02-HYDGN0000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-HYDGN0-99999,39.94063,-70.87855,,0,442,,,
AT27,,AT31,,CP04OSSM-SBD11-06-METBKA000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-METLGR-00025,39.94063,-70.87855,,0,442,,,
AT27,,AT31,,CP04OSSM-SBD12-00-DCLENG000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGCON-BDCL12-00007,39.94063,-70.87855,,0,442,,,
AT27,,AT31,,CP04OSSM-SBD12-03-HYDGN0000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-HYDGN0-99999,39.94063,-70.87855,,0,442,,,
AT27,,AT31,,CP04OSSM-SBD12-04-PCO2AA000,2,1,2015-05-10T01:04:00,2015-10-23T20:52:00,CGMCP-04OSSM-00002,,CGINS-PCO2AA-34229,39.94063,-70.87855,,0,442,,,
AT31,,AR4,,CP04OSSM-MFC31-00-CPMENG000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGCON-MCPM03-00016,39.93727,-70.88665,,453,454,,,
AT31,,AR4,,CP04OSSM-MFD35-00-DCLENG000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGCON-MDCL35-00009,39.93727,-70.88665,,453,454,,,
AT31,,AR4,,CP04OSSM-MFD35-01-ADCPSJ000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGINS-ADCPSJ-21496,39.93727,-70.88665,,453,454,,,
AT31,,AR4,,CP04OSSM-MFD35-02-PRESFC000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGINS-PRESFC-01401,39.93727,-70.88665,,453,454,,,
AT31,,AR4,,CP04OSSM-MFD35-04-VELPTB000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGINS-VELPTA-12711,39.93727,-70.88665,,453,454,,,
#AT31,,AR4,,CP04OSSM-MFD35-05-PCO2WB000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,,39.93727,-70.88665,,,454,Not Deployed,,
#AT31,,AR4,,CP04OSSM-MFD35-06-PHSEND000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,,39.93727,-70.88665,,,454,Not Deployed,,
AT31,,AR4,,CP04OSSM-MFD37-00-DCLENG000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGCON-MDCL37-00016,39.93727,-70.88665,,453,454,,,
#AT31,,AR4,,CP04OSSM-MFD37-01-OPTAAD000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,,39.93727,-70.88665,,,454,Not Deployed,,
AT31,,AR4,,CP04OSSM-MFD37-03-CTDBPE000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGINS-CTDBPE-50111,39.93727,-70.88665,,453,454,,,
AT31,,AR4,,CP04OSSM-MFD37-04-DOSTAD000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGINS-DOSTAD-00512,39.93727,-70.88665,,453,454,,,
AT31,,AR4,,CP04OSSM-MFD37-07-ZPLSCC000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGINS-ZPLSCC-55101,39.93727,-70.88665,,453,454,,,
AT31,,AR4,,CP04OSSM-RIC21-00-CPMENG000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGCON-NCPM02-00013,39.93727,-70.88665,,7,454,,,
AT31,,AR4,,CP04OSSM-RID26-00-DCLENG000,3,1,2015-10-22T19:38:00,2016-05-13T17:18:00,CGMCP-04OSSM-00003,,CGCON-NDCL26-00024,39.93727,-70.88665,,7,454,,,
