CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-27,,AT-27,,CP05MOAS-A6264-00-ENG000000,1,1,2015-05-08T13:21:00,2015-05-12T22:53:46,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGCON-AUVPNR-06264,40.64263333,-70.43171667,,,,docking trials and test data only
AT-27,,AT-27,,CP05MOAS-A6264-01-FLORTN000,1,1,2015-05-08T13:21:00,2015-05-12T22:53:46,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-FLORTN-01108,40.64263333,-70.43171667,,,,docking trials and test data only
AT-27,,AT-27,,CP05MOAS-A6264-02-DOSTAN000,1,1,2015-05-08T13:21:00,2015-05-12T22:53:46,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-DOSTAN-01520,40.64263333,-70.43171667,,,,docking trials and test data only
AT-27,,AT-27,,CP05MOAS-A6264-03-CTDAVN000,1,1,2015-05-08T13:21:00,2015-05-12T22:53:46,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-CTDAVN-00104,40.64263333,-70.43171667,,,,docking trials and test data only
AT-27,,AT-27,,CP05MOAS-A6264-04-NUTNRN000,1,1,2015-05-08T13:21:00,2015-05-12T22:53:46,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-NUTNRN-00367,40.64263333,-70.43171667,,,,docking trials and test data only
AT-27,,AT-27,,CP05MOAS-A6264-05-ADCPAN000,1,1,2015-05-08T13:21:00,2015-05-12T22:53:46,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-ADCPAN-22077,40.64263333,-70.43171667,,,,docking trials and test data only
AT-27,,AT-27,,CP05MOAS-A6264-06-PARADN000,1,1,2015-05-08T13:21:00,2015-05-12T22:53:46,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-PARADN-50170,40.64263333,-70.43171667,,,,docking trials and test data only
AR-04,,AR-04,,CP05MOAS-A6264-00-ENG000000,2,1,2016-05-30T19:30:00,2016-05-31T16:45:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGCON-AUVPNR-06264,40.221,-70.9122,,,,along-shelf survey
AR-04,,AR-04,,CP05MOAS-A6264-01-FLORTN000,2,1,2016-05-30T19:30:00,2016-05-31T16:45:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-FLORTN-01108,40.221,-70.9122,,,,along-shelf survey
AR-04,,AR-04,,CP05MOAS-A6264-02-DOSTAN000,2,1,2016-05-30T19:30:00,2016-05-31T16:45:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-DOSTAN-01520,40.221,-70.9122,,,,along-shelf survey
AR-04,,AR-04,,CP05MOAS-A6264-03-CTDAVN000,2,1,2016-05-30T19:30:00,2016-05-31T16:45:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-CTDAVN-00104,40.221,-70.9122,,,,along-shelf survey
AR-04,,AR-04,,CP05MOAS-A6264-04-NUTNRN000,2,1,2016-05-30T19:30:00,2016-05-31T16:45:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-NUTNRN-00367,40.221,-70.9122,,,,along-shelf survey
AR-04,,AR-04,,CP05MOAS-A6264-05-ADCPAN000,2,1,2016-05-30T19:30:00,2016-05-31T16:45:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-ADCPAN-22077,40.221,-70.9122,,,,along-shelf survey
AR-04,,AR-04,,CP05MOAS-A6264-06-PARADN000,2,1,2016-05-30T19:30:00,2016-05-31T16:45:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-PARADN-50170,40.221,-70.9122,,,,along-shelf survey
AR-08,,AR-08,,CP05MOAS-A6264-00-ENG000000,3,1,2016-10-14T21:58:00,2016-10-16T02:51:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGCON-AUVPNR-06264,40.2025,-71.1014,,,,along-shelf survey
AR-08,,AR-08,,CP05MOAS-A6264-01-FLORTN000,3,1,2016-10-14T21:58:00,2016-10-16T02:51:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-FLORTN-01108,40.2025,-71.1014,,,,along-shelf survey
AR-08,,AR-08,,CP05MOAS-A6264-02-DOSTAN000,3,1,2016-10-14T21:58:00,2016-10-16T02:51:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-DOSTAN-01520,40.2025,-71.1014,,,,along-shelf survey
AR-08,,AR-08,,CP05MOAS-A6264-03-CTDAVN000,3,1,2016-10-14T21:58:00,2016-10-16T02:51:00,CGVCP-05MOAS-00000,CGVEH-AUVPNR-06264,CGINS-CTDAVN-00104,40.2025,-71.1014,,,,along-shelf survey
