CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN222,,SI20150110,,CP05MOAS-GL380-00-ENG000000,1,1,2014-10-07T01:06:00,2015-01-11T15:55:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.82533833,-70.5827,,1000,1000,FZ-2,,
KN222,,SI20150110,,CP05MOAS-GL380-01-ADCPAM000,1,1,2014-10-07T01:06:00,2015-01-11T15:55:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-49696,39.82533833,-70.5827,,1000,1000,FZ-2,,
KN222,,SI20150110,,CP05MOAS-GL380-02-FLORTM000,1,1,2014-10-07T01:06:00,2015-01-11T15:55:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-03130,39.82533833,-70.5827,,1000,1000,FZ-2,,
KN222,,SI20150110,,CP05MOAS-GL380-03-CTDGVM000,1,1,2014-10-07T01:06:00,2015-01-11T15:55:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09055,39.82533833,-70.5827,,1000,1000,FZ-2,,
KN222,,SI20150110,,CP05MOAS-GL380-04-DOSTAM000,1,1,2014-10-07T01:06:00,2015-01-11T15:55:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00213,39.82533833,-70.5827,,1000,1000,FZ-2,,
KN222,,SI20150110,,CP05MOAS-GL380-05-PARADM000,1,1,2014-10-07T01:06:00,2015-01-11T15:55:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50159,39.82533833,-70.5827,,1000,1000,FZ-2,,
SI20150722,,AT31,,CP05MOAS-GL380-00-ENG000000,2,1,2015-07-23T21:37:28,2015-10-15T00:33:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,40.09487,-70.65537,,1000,1000,FZ-1,,
SI20150722,,AT31,,CP05MOAS-GL380-01-ADCPAM000,2,1,2015-07-23T21:37:28,2015-10-15T00:33:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-49696,40.09487,-70.65537,,1000,1000,FZ-1,,
SI20150722,,AT31,,CP05MOAS-GL380-02-FLORTM000,2,1,2015-07-23T21:37:28,2015-10-15T00:33:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-03130,40.09487,-70.65537,,1000,1000,FZ-1,,
SI20150722,,AT31,,CP05MOAS-GL380-03-CTDGVM000,2,1,2015-07-23T21:37:28,2015-10-15T00:33:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09055,40.09487,-70.65537,,1000,1000,FZ-1,,
SI20150722,,AT31,,CP05MOAS-GL380-04-DOSTAM000,2,1,2015-07-23T21:37:28,2015-10-15T00:33:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00213,40.09487,-70.65537,,1000,1000,FZ-1,,
SI20150722,,AT31,,CP05MOAS-GL380-05-PARADM000,2,1,2015-07-23T21:37:28,2015-10-15T00:33:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50159,40.09487,-70.65537,,1000,1000,FZ-1,,
AR8,,WJ20170115,,CP05MOAS-GL380-00-ENG000000,3,1,2016-10-11T20:46:00,2017-01-16T07:15:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.8362,-70.72885,,1000,1000,SS-1,,
AR8,,WJ20170115,,CP05MOAS-GL380-01-ADCPAM000,3,1,2016-10-11T20:46:00,2017-01-16T07:15:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-72777,39.8362,-70.72885,,1000,1000,SS-1,,
AR8,,WJ20170115,,CP05MOAS-GL380-02-FLORTM000,3,1,2016-10-11T20:46:00,2017-01-16T07:15:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-04473,39.8362,-70.72885,,1000,1000,SS-1,,
AR8,,WJ20170115,,CP05MOAS-GL380-03-CTDGVM000,3,1,2016-10-11T20:46:00,2017-01-16T07:15:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09341,39.8362,-70.72885,,1000,1000,SS-1,,
AR8,,WJ20170115,,CP05MOAS-GL380-04-DOSTAM000,3,1,2016-10-11T20:46:00,2017-01-16T07:15:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00604,39.8362,-70.72885,,1000,1000,SS-1,,
AR8,,WJ20170115,,CP05MOAS-GL380-05-PARADM000,3,1,2016-10-11T20:46:00,2017-01-16T07:15:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50195,39.8362,-70.72885,,1000,1000,SS-1,,
AR18,,WJ20170815,,CP05MOAS-GL380-00-ENG000000,4,1,2017-06-07T02:51:00,2017-08-17T12:59:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.8393,-70.730354,,1000,1000,SS-1,,
AR18,,WJ20170815,,CP05MOAS-GL380-01-ADCPAM000,4,1,2017-06-07T02:51:00,2017-08-17T12:59:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-72777,39.8393,-70.730354,,1000,1000,SS-1,,
AR18,,WJ20170815,,CP05MOAS-GL380-02-FLORTM000,4,1,2017-06-07T02:51:00,2017-08-17T12:59:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-03130,39.8393,-70.730354,,1000,1000,SS-1,,
AR18,,WJ20170815,,CP05MOAS-GL380-03-CTDGVM000,4,1,2017-06-07T02:51:00,2017-08-17T12:59:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09057,39.8393,-70.730354,,1000,1000,SS-1,,
AR18,,WJ20170815,,CP05MOAS-GL380-04-DOSTAM000,4,1,2017-06-07T02:51:00,2017-08-17T12:59:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00192,39.8393,-70.730354,,1000,1000,SS-1,,
AR18,,WJ20170815,,CP05MOAS-GL380-05-PARADM000,4,1,2017-06-07T02:51:00,2017-08-17T12:59:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50146,39.8393,-70.730354,,1000,1000,SS-1,,
AR24,,TS20171124,,CP05MOAS-GL380-00-ENG000000,5,1,2017-11-01T01:50:00,2017-11-24T18:18:51,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.85036667,-70.72466667,,1000,1000,SS-1,,
AR24,,TS20171124,,CP05MOAS-GL380-01-ADCPAM000,5,1,2017-11-01T01:50:00,2017-11-24T18:18:51,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-72777,39.85036667,-70.72466667,,1000,1000,SS-1,,
AR24,,TS20171124,,CP05MOAS-GL380-02-FLORTM000,5,1,2017-11-01T01:50:00,2017-11-24T18:18:51,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-03206,39.85036667,-70.72466667,,1000,1000,SS-1,,
AR24,,TS20171124,,CP05MOAS-GL380-03-CTDGVM000,5,1,2017-11-01T01:50:00,2017-11-24T18:18:51,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09060,39.85036667,-70.72466667,,1000,1000,SS-1,,
AR24,,TS20171124,,CP05MOAS-GL380-04-DOSTAM000,5,1,2017-11-01T01:50:00,2017-11-24T18:18:51,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00566,39.85036667,-70.72466667,,1000,1000,SS-1,,
AR24,,TS20171124,,CP05MOAS-GL380-05-PARADM000,5,1,2017-11-01T01:50:00,2017-11-24T18:18:51,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50163,39.85036667,-70.72466667,,1000,1000,SS-1,,
SI20180126,,EN608,,CP05MOAS-GL380-00-ENG000000,6,1,2018-01-27T16:29:39,2018-02-03T19:30:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.86147,-70.39555,,1000,1000,SS-1,,
SI20180126,,EN608,,CP05MOAS-GL380-01-ADCPAM000,6,1,2018-01-27T16:29:39,2018-02-03T19:30:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-72777,39.86147,-70.39555,,1000,1000,SS-1,,
SI20180126,,EN608,,CP05MOAS-GL380-02-FLORTM000,6,1,2018-01-27T16:29:39,2018-02-03T19:30:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-03206,39.86147,-70.39555,,1000,1000,SS-1,,
SI20180126,,EN608,,CP05MOAS-GL380-03-CTDGVM000,6,1,2018-01-27T16:29:39,2018-02-03T19:30:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09060,39.86147,-70.39555,,1000,1000,SS-1,,
SI20180126,,EN608,,CP05MOAS-GL380-04-DOSTAM000,6,1,2018-01-27T16:29:39,2018-02-03T19:30:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00566,39.86147,-70.39555,,1000,1000,SS-1,,
SI20180126,,EN608,,CP05MOAS-GL380-05-PARADM000,6,1,2018-01-27T16:29:39,2018-02-03T19:30:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50163,39.86147,-70.39555,,1000,1000,SS-1,,
AR31,,AR31,,CP05MOAS-GL380-00-ENG000000,7,1,2018-10-25T20:23:00,2018-10-27T02:47:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.87505,-70.88473,,1000,1000,SS-1,,
AR31,,AR31,,CP05MOAS-GL380-01-ADCPAM000,7,1,2018-10-25T20:23:00,2018-10-27T02:47:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-48878,39.87505,-70.88473,,1000,1000,SS-1,,
AR31,,AR31,,CP05MOAS-GL380-02-FLORTM000,7,1,2018-10-25T20:23:00,2018-10-27T02:47:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-05133,39.87505,-70.88473,,1000,1000,SS-1,,
AR31,,AR31,,CP05MOAS-GL380-03-CTDGVM000,7,1,2018-10-25T20:23:00,2018-10-27T02:47:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09453,39.87505,-70.88473,,1000,1000,SS-1,,
AR31,,AR31,,CP05MOAS-GL380-04-DOSTAM000,7,1,2018-10-25T20:23:00,2018-10-27T02:47:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00195,39.87505,-70.88473,,1000,1000,SS-1,,
AR31,,AR31,,CP05MOAS-GL380-05-PARADM000,7,1,2018-10-25T20:23:00,2018-10-27T02:47:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50277,39.87505,-70.88473,,1000,1000,SS-1,,
TS20191212,,TS20200301,,CP05MOAS-GL380-00-ENG000000,8,1,2019-12-12T22:31:16,2020-03-02T07:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.91493,-70.66606,,1000,1000,FZ-1,,
TS20191212,,TS20200301,,CP05MOAS-GL380-01-ADCPAM000,8,1,2019-12-12T22:31:16,2020-03-02T07:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-49697,39.91493,-70.66606,,1000,1000,FZ-1,,
TS20191212,,TS20200301,,CP05MOAS-GL380-02-FLORTM000,8,1,2019-12-12T22:31:16,2020-03-02T07:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-04471,39.91493,-70.66606,,1000,1000,FZ-1,,
TS20191212,,TS20200301,,CP05MOAS-GL380-03-CTDGVM000,8,1,2019-12-12T22:31:16,2020-03-02T07:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09059,39.91493,-70.66606,,1000,1000,FZ-1,,
TS20191212,,TS20200301,,CP05MOAS-GL380-04-DOSTAM000,8,1,2019-12-12T22:31:16,2020-03-02T07:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-DOSTAM-00123,39.91493,-70.66606,,1000,1000,FZ-1,,
TS20191212,,TS20200301,,CP05MOAS-GL380-05-PARADM000,8,1,2019-12-12T22:31:16,2020-03-02T07:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-PARADM-50151,39.91493,-70.66606,,1000,1000,FZ-1,,
TS20200613,,TS20200629,,CP05MOAS-GL380-00-ENG000000,9,1,2020-06-13T21:24:23,2020-06-30T00:07:30,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGCON-GLDRCP-00380,39.92853,-70.37213,,1000,1000,SS-1,,
TS20200613,,TS20200629,,CP05MOAS-GL380-01-ADCPAM000,9,1,2020-06-13T21:24:23,2020-06-30T00:07:30,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-ADCPAM-49697,39.92853,-70.37213,,1000,1000,SS-1,,
TS20200613,,TS20200629,,CP05MOAS-GL380-02-FLORTM000,9,1,2020-06-13T21:24:23,2020-06-30T00:07:30,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-FLORTM-04471,39.92853,-70.37213,,1000,1000,SS-1,,
TS20200613,,TS20200629,,CP05MOAS-GL380-03-CTDGVM000,9,1,2020-06-13T21:24:23,2020-06-30T00:07:30,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00380,CGINS-CTDGVM-09059,39.92853,-70.37213,,1000,1000,SS-1,,
