CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AR-04,,,,CP05MOAS-GL335-00-ENG000000,4,1,2016-05-27T20:33:00,2016-06-27T00:00:00,N00277,A01774,OL000347,39.83333,-70.70833,,,,type 200m
AR-04,,,,CP05MOAS-GL335-01-ADCPAM000,4,1,2016-05-27T20:33:00,2016-06-27T00:00:00,N00277,A01774,N00728,39.83333,-70.70833,,,,type 200m
AR-04,,,,CP05MOAS-GL335-02-FLORTM000,4,1,2016-05-27T20:33:00,2016-06-27T00:00:00,N00277,A01774,N00729,39.83333,-70.70833,,,,type 200m
AR-04,,,,CP05MOAS-GL335-03-CTDGVM000,4,1,2016-05-27T20:33:00,2016-06-27T00:00:00,N00277,A01774,N00730,39.83333,-70.70833,,,,type 200m
AR-04,,,,CP05MOAS-GL335-04-DOSTAM000,4,1,2016-05-27T20:33:00,2016-06-27T00:00:00,N00277,A01774,N00731,39.83333,-70.70833,,,,type 200m
AR-04,,,,CP05MOAS-GL335-05-PARADM000,4,1,2016-05-27T20:33:00,2016-06-27T00:00:00,N00277,A01774,N00732,39.83333,-70.70833,,,,type 200m
P6a,,P6a,,CP05MOAS-GL340-01-ADCPAM000,4,1,2016-08-9T02:30:00,2016-08-09T07:50:00,N00277,A00284,N00031,,,,,,type 200m
P6a,,P6a,,CP05MOAS-GL340-02-FLORTM000,4,1,2016-08-9T02:30:00,2016-08-09T07:50:00,N00277,A00284,N00032,,,,,,type 200m
P6a,,P6a,,CP05MOAS-GL340-03-CTDGVM000,4,1,2016-08-9T02:30:00,2016-08-09T07:50:00,N00277,A00284,N00033,,,,,,type 200m
P6a,,P6a,,CP05MOAS-GL340-04-DOSTAM000,4,1,2016-08-9T02:30:00,2016-08-09T07:50:00,N00277,A00284,N00034,,,,,,type 200m
P6a,,P6a,,CP05MOAS-GL340-05-PARADM000,4,1,2016-08-9T02:30:00,2016-08-09T07:50:00,N00277,A00284,N00035,,,,,,type 200m
P6a,,P6a,,CP05MOAS-GL340-00-ENG000000,4,1,2016-08-9T02:30:00,2016-08-09T07:50:00,N00277,A00284,OL000350,,,,,,type 200m
PS1601,,,,CP05MOAS-GL376-00-ENG000000,4,1,2016-01-21T01:30:00,2016-02-02T00:00:00,N00277,A00335,OL000353,39.83333,-70.70833,,,,type 1000m
PS1601,,,,CP05MOAS-GL376-01-ADCPAM000,4,1,2016-01-21T01:30:00,2016-02-02T00:00:00,N00277,A00335,N00141,39.83333,-70.70833,,,,type 1000m
PS1601,,,,CP05MOAS-GL376-02-FLORTM000,4,1,2016-01-21T01:30:00,2016-02-02T00:00:00,N00277,A00335,N00142,39.83333,-70.70833,,,,type 1000m
PS1601,,,,CP05MOAS-GL376-03-CTDGVM000,4,1,2016-01-21T01:30:00,2016-02-02T00:00:00,N00277,A00335,N00143,39.83333,-70.70833,,,,type 1000m
PS1601,,,,CP05MOAS-GL376-04-DOSTAM000,4,1,2016-01-21T01:30:00,2016-02-02T00:00:00,N00277,A00335,N00144,39.83333,-70.70833,,,,type 1000m
PS1601,,,,CP05MOAS-GL376-05-PARADM000,4,1,2016-01-21T01:30:00,2016-02-02T00:00:00,N00277,A00335,N00145,39.83333,-70.70833,,,,type 1000m
P5a,,AR-04,,CP05MOAS-GL379-01-ADCPAM000,4,1,2016-01-21T04:41:00,2016-05-17T11:00:00,N00277,A00367,N00043,39.833,-71.167,,,,type 1000m
P5a,,AR-04,,CP05MOAS-GL379-02-FLORTM000,4,1,2016-01-21T04:41:00,2016-05-17T11:00:00,N00277,A00367,N00044,39.833,-71.167,,,,type 1000m
P5a,,AR-04,,CP05MOAS-GL379-03-CTDGVM000,4,1,2016-01-21T04:41:00,2016-05-17T11:00:00,N00277,A00367,N00045,39.833,-71.167,,,,type 1000m
P5a,,AR-04,,CP05MOAS-GL379-04-DOSTAM000,4,1,2016-01-21T04:41:00,2016-05-17T11:00:00,N00277,A00367,N00046,39.833,-71.167,,,,type 1000m
P5a,,AR-04,,CP05MOAS-GL379-05-PARADM000,4,1,2016-01-21T04:41:00,2016-05-17T11:00:00,N00277,A00367,N00047,39.833,-71.167,,,,type 1000m
P5a,,AR-04,,CP05MOAS-GL379-00-ENG000000,4,1,2016-01-21T04:41:00,2016-05-17T11:00:00,N00277,A00367,OL000354,39.833,-71.167,,,,type 1000m
AR1-07,,,,CP05MOAS-GL387-00-ENG000000,4,1,2016-04-04T18:58:00,2016-07-28T00:00:00,N00277,A00585,OL000356,39.96667,-70.54167,,,,type 1000m
AR1-07,,,,CP05MOAS-GL387-01-ADCPAM000,4,1,2016-04-04T18:58:00,2016-07-28T00:00:00,N00277,A00585,N00136,39.96667,-70.54167,,,,type 1000m
AR1-07,,,,CP05MOAS-GL387-02-FLORTM000,4,1,2016-04-04T18:58:00,2016-07-28T00:00:00,N00277,A00585,N00137,39.96667,-70.54167,,,,type 1000m
AR1-07,,,,CP05MOAS-GL387-03-CTDGVM000,4,1,2016-04-04T18:58:00,2016-07-28T00:00:00,N00277,A00585,N00138,39.96667,-70.54167,,,,type 1000m
AR1-07,,,,CP05MOAS-GL387-04-DOSTAM000,4,1,2016-04-04T18:58:00,2016-07-28T00:00:00,N00277,A00585,N00139,39.96667,-70.54167,,,,type 1000m
AR1-07,,,,CP05MOAS-GL387-05-PARADM000,4,1,2016-04-04T18:58:00,2016-07-28T00:00:00,N00277,A00585,N00140,39.96667,-70.54167,,,,type 1000m
P6a,,AR-08,,CP05MOAS-GL388-00-ENG000000,4,1,2016-08-09T00:00:00,2016-09-28T21:47:00,N00277,A00583,OL000357,,,,,,type 1000m
P6a,,AR-08,,CP05MOAS-GL388-01-ADCPAM000,4,1,2016-08-09T00:00:00,2016-09-28T21:47:00,N00277,A00583,N00156,,,,,,type 1000m
P6a,,AR-08,,CP05MOAS-GL388-02-FLORTM000,4,1,2016-08-09T00:00:00,2016-09-28T21:47:00,N00277,A00583,N00157,,,,,,type 1000m
P6a,,AR-08,,CP05MOAS-GL388-03-CTDGVM000,4,1,2016-08-09T00:00:00,2016-09-28T21:47:00,N00277,A00583,N00158,,,,,,type 1000m
P6a,,AR-08,,CP05MOAS-GL388-04-DOSTAM000,4,1,2016-08-09T00:00:00,2016-09-28T21:47:00,N00277,A00583,N00159,,,,,,type 1000m
P6a,,AR-08,,CP05MOAS-GL388-05-PARADM000,4,1,2016-08-09T00:00:00,2016-09-28T21:47:00,N00277,A00583,N00160,,,,,,type 1000m
