CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-30,,,,GA01SUMO-RID16-00-DCLENG000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,OL000018,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-01-OPTAAD000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01148,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-02-FLORTD000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A00889,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-03-CTDBPF000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01094,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-04-VELPTA000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01070,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-05-PCO2WB000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A00062,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-06-DOSTAD000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A00892,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-07-NUTNRB000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01066,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RID16-08-SPKIRB000,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A00093,-42.92283,-42.45583,,12,5181,deployment_depth placeholder: design depth
AT-26-30,,,,GA01SUMO-RII11-02-ADCPSN010,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A00856,-42.92283,-42.45583,,500,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDBPP031,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,OL000009,-42.92283,-42.45583,,40,5181,not deployed
AT-26-30,,,,GA01SUMO-RII11-02-CTDBPP032,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,OL000010,-42.92283,-42.45583,,80,5181,not deployed
AT-26-30,,,,GA01SUMO-RII11-02-CTDBPP033,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,OL000011,-42.92283,-42.45583,,130,5181,not deployed
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ011,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A00882,-42.92283,-42.45583,,20,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ012,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01118,-42.92283,-42.45583,,60,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ013,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01119,-42.92283,-42.45583,,100,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ014,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01121,-42.92283,-42.45583,,180,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ015,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01122,-42.92283,-42.45583,,250,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ016,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01123,-42.92283,-42.45583,,350,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ017,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01124,-42.92283,-42.45583,,500,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ031,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A00883,-42.92283,-42.45583,,40,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOQ033,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01120,-42.92283,-42.45583,,130,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOR018,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01128,-42.92283,-42.45583,,750,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOR019,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,N00500,-42.92283,-42.45583,,1000,5181,
AT-26-30,,,,GA01SUMO-RII11-02-CTDMOR020,1,1,2015-03-15T21:25:00,2015-11-26T00:00:00,CGMGA-01SUMO-00001,,A01130,-42.92283,-42.45583,,1500,5181,
