CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
#AT26-30,,NBP1510,,GA02HYPM-MPM01-02-ZPLSGA009,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,,,-42.98167,-42.4985,,,5200,not deployed,,
#AT26-30,,NBP1510,,GA02HYPM-MPM01-02-ZPLSGA010,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,,,-42.98167,-42.4985,,,5200,not deployed,,
AT26-30,,NBP1510,,GA02HYPM-RIM01-00-SIOENG000,1,1,2015-03-16T19:02:00,2015-11-15T15:22:00,CGMGA-02HYPM-00001,,CGCON-SIOCON-13994,-42.98167,-42.4985,,5126,5200,,,
AT26-30,,NBP1510,,GA02HYPM-RIM01-02-CTDMOG039,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,,CGINS-CTDMOG-12406,-42.98167,-42.4985,,163,5200,,,
AT26-30,,NBP1510,,GA02HYPM-WFP02-00-WFPENG000,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,CGVEH-GWFPGX-10404,CGCON-GWFPGX-10404,-42.98167,-42.4985,,2573,5200,,,
AT26-30,,NBP1510,,GA02HYPM-WFP02-01-FLORDL000,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,CGVEH-GWFPGX-10404,CGINS-FLORDL-03279,-42.98167,-42.4985,,2573,5200,,,
AT26-30,,NBP1510,,GA02HYPM-WFP02-03-DOSTAL000,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,CGVEH-GWFPGX-10404,CGINS-DOSTAL-01473,-42.98167,-42.4985,,2573,5200,,,
AT26-30,,NBP1510,,GA02HYPM-WFP02-04-CTDPFL000,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,CGVEH-GWFPGX-10404,CGINS-CTDPFL-00135,-42.98167,-42.4985,,2573,5200,,,
AT26-30,,NBP1510,,GA02HYPM-WFP02-05-VEL3DL000,1,1,2015-03-16T19:02:00,2015-11-15T11:38:00,CGMGA-02HYPM-00001,CGVEH-GWFPGX-10404,CGINS-VEL3DL-01110,-42.98167,-42.4985,,2573,5200,,,
AT26-30,,NBP1510,,GA02HYPM-WFP03-00-WFPENG000,1,1,2015-03-16T19:02:00,2015-11-15T15:22:00,CGMGA-02HYPM-00001,CGVEH-GWFPGX-10406,CGCON-GWFPGX-10406,-42.98167,-42.4985,,5116,5200,,,
