CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT-26-30,,,,GA03FLMA-RIM01-00-SIOENG000,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,OL000001,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-ADCPSL003,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00569,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG040,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00937,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG041,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A01514,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG042,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00947,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG043,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A01517,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG044,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A01518,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG045,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00948,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG046,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00951,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG047,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00949,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOG048,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00942,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOH049,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A00954,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOH050,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A01513,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIM01-02-CTDMOH051,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A01519,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIS01-00-SIOENG000,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,OL000002,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIS01-03-DOSTAD000,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A01145,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIS01-04-PHSENF000,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,N00501,-42.493,-42.87067,,5165
AT-26-30,,,,GA03FLMA-RIS01-05-FLORTD000,1,1,2015-03-17T19:45:00,2015-11-22T00:00:00,N00218,,A01496,-42.493,-42.87067,,5165
