CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-00-SIOENG000,1,1,2015-03-17T19:45:00,2015-11-23T11:46:00,CGMGA-03FLMA-00001,,CGCON-SIOCON-13995,-42.493,-42.8705,,1508,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-ADCPSL003,1,1,2015-03-17T19:45:00,2015-11-23T11:46:00,CGMGA-03FLMA-00001,,CGINS-ADCPSL-20503,-42.493,-42.8705,,500,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG040,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12401,-42.493,-42.8705,,30,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG041,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12584,-42.493,-42.8705,,40,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG042,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12408,-42.493,-42.8705,,60,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG043,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12608,-42.493,-42.8705,,90,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG044,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12609,-42.493,-42.8705,,130,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG045,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12409,-42.493,-42.8705,,180,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG046,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12412,-42.493,-42.8705,,250,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG047,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12410,-42.493,-42.8705,,350,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOG048,1,1,2015-03-17T19:45:00,2015-11-23T11:46:00,CGMGA-03FLMA-00001,,CGINS-CTDMOG-12396,-42.493,-42.8705,,500,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOH049,1,1,2015-03-17T19:45:00,2015-11-23T11:46:00,CGMGA-03FLMA-00001,,CGINS-CTDMOH-12394,-42.493,-42.8705,,750,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOH050,1,1,2015-03-17T19:45:00,2015-11-23T11:46:00,CGMGA-03FLMA-00001,,CGINS-CTDMOH-12618,-42.493,-42.8705,,1000,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIM01-02-CTDMOH051,1,1,2015-03-17T19:45:00,2015-11-23T11:46:00,CGMGA-03FLMA-00001,,CGINS-CTDMOH-12619,-42.493,-42.8705,,1500,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIS01-00-SIOENG000,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGCON-SIOCON-13989,-42.493,-42.8705,,30,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIS01-03-DOSTAD000,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-DOSTAD-00428,-42.493,-42.8705,,30,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIS01-04-PHSENF000,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-PHSENF-P0141,-42.493,-42.8705,,30,5165,,,
AT26-30,,NBP1510,,GA03FLMA-RIS01-05-FLORTD000,1,1,2015-03-17T19:45:00,2015-11-22T12:08:00,CGMGA-03FLMA-00001,,CGINS-FLORTD-01215,-42.493,-42.8705,,30,5165,,,
NBP1510,,NBP1609,,GA03FLMA-RIM01-00-SIOENG000,2,1,2015-11-25T19:21:00,2016-11-07T09:49:00,CGMGA-03FLMA-00002,,CGCON-SIOCON-14879,-42.49457,-42.92112,,1502,5142,,,
NBP1510,,NBP1609,,GA03FLMA-RIM01-02-ADCPSL003,2,1,2015-11-25T19:21:00,2016-11-07T09:49:00,CGMGA-03FLMA-00002,,CGINS-ADCPSL-23497,-42.49457,-42.92112,,500,5142,,,
NBP1510,,NBP1609,,GA03FLMA-RIM01-02-CTDMOG040,2,1,2015-11-25T19:21:00,2016-11-05T18:58:00,CGMGA-03FLMA-00002,,CGINS-CTDMOG-13560,-42.49457,-42.92112,,30,5142,,,
NBP1510,,NBP1609,,GA03FLMA-RIM01-02-CTDMOG041,2,1,2015-11-25T19:21:00,2016-11-05T18:58:00,CGMGA-03FLMA-00002,,CGINS-CTDMOG-13561,-42.49457,-42.92112,,40,5142,,,
NBP1510,,NBP1609,,GA03FLMA-RIM01-02-CTDMOG042,2,1,2015-11-25T19:21:00,2016-11-05T18:58:00,CGMGA-03FLMA-00002,,CGINS-CTDMOG-13578,-42.49457,-42.92112,,60,5142,,,
