CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-30,,,,GA03FLMB-RIM01-00-SIOENG000,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGCON-SIOCON-99826,-42.49567,-42.122,,1507.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-ADCPSL007,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-ADCPSL-21497,-42.49567,-42.122,,501.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG060,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-12403,-42.49567,-42.122,,29.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG061,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-12413,-42.49567,-42.122,,40.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG062,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-12404,-42.49567,-42.122,,60.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG063,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-12414,-42.49567,-42.122,,90.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG064,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-12407,-42.49567,-42.122,,130.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG065,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-11605,-42.49567,-42.122,,180.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG066,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-11651,-42.49567,-42.122,,250.0,5170.0,
AT-26-30,,,,GA03FLMB-RIM01-02-CTDMOG067,1,1,2015-03-21T02:30:00,2015-11-18T00:00:00,CGMGA-03FLMB-00001,,CGINS-CTDMOG-11610,-42.49567,-42.122,,351.0,5170.0,
