CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT-30-01,,,,GI01SUMO-RID16-00-DCLENG000,2,1,2015-08-15T19:22:00,,N00221,,R00053,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-01-OPTAAD000,2,1,2015-08-15T19:22:00,,N00221,,A01338,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-02-FLORTD000,2,1,2015-08-15T19:22:00,,N00221,,A01340,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-03-CTDBPF000,2,1,2015-08-15T19:22:00,,N00221,,A01093,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-04-VELPTA000,2,1,2015-08-15T19:22:00,,N00221,,N00503,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-05-PCO2WB000,2,1,2015-08-15T19:22:00,,N00221,,A01157,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-06-DOSTAD000,2,1,2015-08-15T19:22:00,,N00221,,N00504,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-07-NUTNRB000,2,1,2015-08-15T19:22:00,,N00221,,A01143,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RID16-08-SPKIRB000,2,1,2015-08-15T19:22:00,,N00221,,A00978,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-ADCPSN010,2,1,2015-08-15T19:22:00,,N00221,,A01242,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDBPP031,2,1,2015-08-15T19:22:00,,N00221,,A01096,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDBPP032,2,1,2015-08-15T19:22:00,,N00221,,A01134,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDBPP033,2,1,2015-08-15T19:22:00,,N00221,,A01133,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOQ011,2,1,2015-08-15T19:22:00,,N00221,,A01208,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOQ012,2,1,2015-08-15T19:22:00,,N00221,,A01205,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOQ013,2,1,2015-08-15T19:22:00,,N00221,,A01206,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOQ014,2,1,2015-08-15T19:22:00,,N00221,,A01207,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOQ015,2,1,2015-08-15T19:22:00,,N00221,,A01204,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOQ016,2,1,2015-08-15T19:22:00,,N00221,,A01209,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOQ017,2,1,2015-08-15T19:22:00,,N00221,,A01210,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOR018,2,1,2015-08-15T19:22:00,,N00221,,A01421,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOR019,2,1,2015-08-15T19:22:00,,N00221,,A01422,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-CTDMOR020,2,1,2015-08-15T19:22:00,,N00221,,A01423,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-DOSTAD031,2,1,2015-08-15T19:22:00,,N00221,,A01237,59.94358,-39.57372,,2668
AT-30-01,,,,GI01SUMO-RII11-02-DOSTAD032,2,1,2015-08-15T19:22:00,,N00221,,A01238,59.94358,-39.57372,,2668
