CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AR-07-01,,,,GI01SUMO-RID16-00-DCLENG000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,OL000596,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-01-OPTAAD000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A01328,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-02-FLORTD000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00424,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-03-CTDBPF000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00635,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-04-VELPTA000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00116,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-05-PCO2WB000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A01156,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-06-DOSTAD000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00396,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-07-NUTNRB000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A01142,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RID16-08-SPKIRB000,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00407,59.9341,-39.4673,,12,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-ADCPSN010,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00853,59.9341,-39.4673,,500,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDBPP031,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A01419,59.9341,-39.4673,,40,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDBPP032,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A01478,59.9341,-39.4673,,80,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDBPP033,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A01479,59.9341,-39.4673,,130,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOQ011,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00644,59.9341,-39.4673,,20,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOQ012,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00645,59.9341,-39.4673,,60,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOQ013,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00646,59.9341,-39.4673,,100,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOQ014,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00647,59.9341,-39.4673,,180,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOQ015,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00636,59.9341,-39.4673,,250,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOQ016,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00637,59.9341,-39.4673,,350,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOQ017,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00638,59.9341,-39.4673,,500,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOR018,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00639,59.9341,-39.4673,,750,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOR019,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00640,59.9341,-39.4673,,1000,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-CTDMOR020,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00641,59.9341,-39.4673,,1500,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-DOSTAD031,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00413,59.9341,-39.4673,,40,2691,deployment_depth placeholder: design depth
AR-07-01,,,,GI01SUMO-RII11-02-DOSTAD032,3,1,2016-07-10T17:44:00,2017-08-01T00:00:00,CGMGI-01SUMO-00002,,A00398,59.9341,-39.4673,,80,2691,deployment_depth placeholder: design depth
