CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AR-07-01,,,,GI03FLMB-RI000-00-CTDMOH000,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00688,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RI000-00-CTDMOH100,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A01411,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RI000-00-CTDMOH400,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00689,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RI000-00-CTDMOH700,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00690,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RI000-00-VELPTB000,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,N00510,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RI000-00-VELPTB100,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,N00518,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RI000-00-VELPTB400,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,N00517,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RI000-00-VELPTB700,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,N00516,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-00-SIOENG000,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,OL000604,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-ADCPSL007,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A01506,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG060,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00866,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG061,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00678,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG062,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00675,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG063,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00867,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG064,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00681,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG065,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00684,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG066,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00672,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG067,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00670,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOG068,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A01397,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOH069,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00872,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOH070,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00873,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIM01-02-CTDMOH071,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00876,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIS01-00-SIOENG000,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,OL000605,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIS01-03-DOSTAD000,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00901,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIS01-04-PHSENF000,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00468,59.71547,-39.31479,,2825
AR-07-01,,,,GI03FLMB-RIS01-05-FLORTD000,3,1,2016-07-13T15:49:00,2017-08-01T00:00:00,OL000603,,A00466,59.71547,-39.31479,,2825
