CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN221-04,,AT30-01,,GI03FLMB-RI000-00-CTDMOH000,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12224,59.7128,-39.3204,,1825,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RI000-00-CTDMOH100,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12226,59.7128,-39.3204,,2725,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RI000-00-CTDMOH400,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12219,59.7128,-39.3204,,2425,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RI000-00-CTDMOH700,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12218,59.7128,-39.3204,,2125,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RI000-00-VELPTB000,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11973,59.7128,-39.3204,,1825,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RI000-00-VELPTB100,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11981,59.7128,-39.3204,,2725,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RI000-00-VELPTB400,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11976,59.7128,-39.3204,,2425,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RI000-00-VELPTB700,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11974,59.7128,-39.3204,,2125,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-00-SIOENG000,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGCON-SIOCON-13285,59.7128,-39.3204,,1508,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-ADCPSL007,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-ADCPSL-18353,59.7128,-39.3204,,495,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG060,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-11612,59.7128,-39.3204,,25,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG061,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-11609,59.7128,-39.3204,,35,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG062,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-12310,59.7128,-39.3204,,55,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG063,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-11535,59.7128,-39.3204,,85,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG064,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-11603,59.7128,-39.3204,,125,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG065,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-11607,59.7128,-39.3204,,175,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG066,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-12311,59.7128,-39.3204,,245,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG067,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-11593,59.7128,-39.3204,,345,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOG068,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOG-11594,59.7128,-39.3204,,495,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOH069,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-11600,59.7128,-39.3204,,745,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOH070,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-11598,59.7128,-39.3204,,995,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIM01-02-CTDMOH071,1,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12223,59.7128,-39.3204,,1495,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIS01-00-SIOENG000,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGCON-SIOCON-12369,59.7128,-39.3204,,25,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIS01-03-DOSTAD000,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-DOSTAD-00126,59.7128,-39.3204,,25,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIS01-04-PHSENF000,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-PHSENF-P0104,59.7128,-39.3204,,25,2825,,,
KN221-04,,AT30-01,,GI03FLMB-RIS01-05-FLORTD000,1,1,2014-09-16T13:24:00,2015-08-20T11:16:00,CGMGI-03FLMB-00001,,CGINS-FLORTD-01107,59.7128,-39.3204,,25,2825,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-CTDMOH000,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13454,59.71823,-39.35362,,1815,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-CTDMOH100,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13457,59.71823,-39.35362,,2715,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-CTDMOH400,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13456,59.71823,-39.35362,,2415,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-CTDMOH700,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13455,59.71823,-39.35362,,2115,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-VELPTB000,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12652,59.71823,-39.35362,,1815,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-VELPTB100,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12197,59.71823,-39.35362,,2715,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-VELPTB400,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12459,59.71823,-39.35362,,2415,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RI000-00-VELPTB700,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12095,59.71823,-39.35362,,2115,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RIM01-00-SIOENG000,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGCON-SIOCON-14876,59.71823,-39.35362,,1504,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RIM01-02-ADCPSL007,2,1,2015-08-21T17:11:00,2016-07-18T10:15:00,CGMGI-03FLMB-00002,,CGINS-ADCPSL-23381,59.71823,-39.35362,,499,2815,,,
AT30-01,,AR7-01,,GI03FLMB-RIM01-02-CTDMOG060,2,1,2015-08-21T17:11:00,2016-07-18T08:00:00,CGMGI-03FLMB-00002,,CGINS-CTDMOG-13430,59.71823,-39.35362,,29,2815,,,
