CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN221-04,,KN221-04,,GI05MOAS-GL469-00-ENG000000,1,1,2014-09-10T23:00:00,2014-09-18T23:32:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGCON-GLDROO-00469,59.93373,-39.47383,,1000,1000,,,
KN221-04,,KN221-04,,GI05MOAS-GL469-01-FLORDM000,1,1,2014-09-10T23:00:00,2014-09-18T23:32:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-FLORDM-03528,59.93373,-39.47383,,1000,1000,,,
KN221-04,,KN221-04,,GI05MOAS-GL469-02-DOSTAM000,1,1,2014-09-10T23:00:00,2014-09-18T23:32:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-DOSTAM-00341,59.93373,-39.47383,,1000,1000,,,
KN221-04,,KN221-04,,GI05MOAS-GL469-04-CTDGVM000,1,1,2014-09-10T23:00:00,2014-09-18T23:32:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-CTDGVM-09172,59.93373,-39.47383,,1000,1000,,,
AR46,,AR46,,GI05MOAS-GL469-00-ENG000000,3,1,2020-08-15T17:21:00,2020-08-16T00:11:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGCON-GLDROO-00469,59.925833,-39.299167,,1000,1000,leak,,
AR46,,AR46,,GI05MOAS-GL469-01-FLORDM000,3,1,2020-08-15T17:21:00,2020-08-16T00:11:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-FLORDM-03583,59.925833,-39.299167,,1000,1000,leak,,
AR46,,AR46,,GI05MOAS-GL469-02-DOSTAM000,3,1,2020-08-15T17:21:00,2020-08-16T00:11:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-DOSTAM-00161,59.925833,-39.299167,,1000,1000,top mount; leak,,
AR46,,AR46,,GI05MOAS-GL469-04-CTDGVM000,3,1,2020-08-15T17:21:00,2020-08-16T00:11:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-CTDGVM-09238,59.925833,-39.299167,,1000,1000,leak,,
AR60-01,,UNRECOVERED,,GI05MOAS-GL469-00-ENG000000,4,1,2021-08-11T04:04:00,2021-10-19T04:14:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGCON-GLDROO-00469,59.85902,-39.12405,,1000,1000,glider lost at sea,,
AR60-01,,UNRECOVERED,,GI05MOAS-GL469-01-FLORDM000,4,1,2021-08-11T04:04:00,2021-10-19T04:14:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-FLORDM-03528,59.85902,-39.12405,,1000,1000,glider lost at sea,,
AR60-01,,UNRECOVERED,,GI05MOAS-GL469-02-DOSTAM000,4,1,2021-08-11T04:04:00,2021-10-19T04:14:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-DOSTAM-00168,59.85902,-39.12405,,1000,1000,top mount; glider lost at sea,,
AR60-01,,UNRECOVERED,,GI05MOAS-GL469-04-CTDGVM000,4,1,2021-08-11T04:04:00,2021-10-19T04:14:00,CGVGI-05MOAS-00000,CGVEH-GLDROO-00469,CGINS-CTDGVM-09172,59.85902,-39.12405,,1000,1000,glider lost at sea,,
