CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR35-05,,AR35-05,,GI05MOAS-PG515-00-ENG000000,3,1,2019-08-06T17:20:00,2019-08-06T21:28:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGCON-GLDRGP-00515,59.9162,-39.26579,,200,200,glider leaked,,
AR35-05,,AR35-05,,GI05MOAS-PG515-01-CTDGVM000,3,1,2019-08-06T17:20:00,2019-08-06T21:28:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-CTDGVM-09231,59.9162,-39.26579,,200,200,glider leaked,,
AR35-05,,AR35-05,,GI05MOAS-PG515-02-DOSTAM000,3,1,2019-08-06T17:20:00,2019-08-06T21:28:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-DOSTAM-00414,59.9162,-39.26579,,200,200,glider leaked,,
AR35-05,,AR35-05,,GI05MOAS-PG515-03-FLORTM000,3,1,2019-08-06T17:20:00,2019-08-06T21:28:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-FLORTM-03501,59.9162,-39.26579,,200,200,glider leaked,,
AR35-05,,AR35-05,,GI05MOAS-PG515-04-FLORTO000,3,1,2019-08-06T17:20:00,2019-08-06T21:28:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-FLORTO-01239,59.9162,-39.26579,,200,200,glider leaked,,
AR35-05,,AR35-05,,GI05MOAS-PG515-05-NUTNRM000,3,1,2019-08-06T17:20:00,2019-08-06T21:28:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-NUTNRM-00760,59.9162,-39.26579,,200,200,glider leaked,,
AR35-05,,AR35-05,,GI05MOAS-PG515-06-PARADM000,3,1,2019-08-06T17:20:00,2019-08-06T21:28:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-PARADM-50185,59.9162,-39.26579,,200,200,glider leaked,,
AR46,,AR60-01,,GI05MOAS-PG515-00-ENG000000,4,1,2020-08-15T14:37:00,2021-08-11T15:32:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGCON-GLDRGP-00515,59.92668,-39.2999,,200,200,,,
AR46,,AR60-01,,GI05MOAS-PG515-01-CTDGVM000,4,1,2020-08-15T14:37:00,2021-08-11T15:32:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-CTDGVM-09231,59.92668,-39.2999,,200,200,,,
AR46,,AR60-01,,GI05MOAS-PG515-02-DOSTAM000,4,1,2020-08-15T14:37:00,2021-08-11T15:32:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-DOSTAM-00310,59.92668,-39.2999,,200,200,top mount,,
AR46,,AR60-01,,GI05MOAS-PG515-03-FLORTM000,4,1,2020-08-15T14:37:00,2021-08-11T15:32:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-FLORTM-03501,59.92668,-39.2999,,200,200,,,
AR46,,AR60-01,,GI05MOAS-PG515-04-FLORTO000,4,1,2020-08-15T14:37:00,2021-08-11T15:32:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-FLORTO-01239,59.92668,-39.2999,,200,200,,,
AR46,,AR60-01,,GI05MOAS-PG515-05-NUTNRM000,4,1,2020-08-15T14:37:00,2021-08-11T15:32:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-NUTNRM-00661,59.92668,-39.2999,,200,200,,,
AR46,,AR60-01,,GI05MOAS-PG515-06-PARADM000,4,1,2020-08-15T14:37:00,2021-08-11T15:32:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00515,CGINS-PARADM-50185,59.92668,-39.2999,,200,200,,,
