CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
KN-221-4,,,,GI05MOAS-GL469-00-ENG000000,1,1,2014-09-10T23:00:00,2014-09-18T00:00:00,N00279,A00962,OL000116,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL469-01-FLORDM000,1,1,2014-09-10T23:00:00,2014-09-18T00:00:00,N00279,A00962,N00527,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL469-02-DOSTAM000,1,1,2014-09-10T23:00:00,2014-09-18T00:00:00,N00279,A00962,N00526,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL469-04-CTDGVM000,1,1,2014-09-10T23:00:00,2014-09-18T00:00:00,N00279,A00962,N00525,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL477-00-ENG000000,1,1,2014-09-10T23:00:00,2015-04-17T00:00:00,N00279,A00964,OL000117,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL477-01-FLORDM000,1,1,2014-09-10T23:00:00,2015-04-17T00:00:00,N00279,A00964,N00533,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL477-02-DOSTAM000,1,1,2014-09-10T23:00:00,2015-04-17T00:00:00,N00279,A00964,N00532,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL477-04-CTDGVM000,1,1,2014-09-10T23:00:00,2015-04-17T00:00:00,N00279,A00964,N00531,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL478-00-ENG000000,1,1,2014-09-11T00:50:00,2014-09-12T00:00:00,N00279,A00965,OL000118,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL478-01-FLORDM000,1,1,2014-09-11T00:50:00,2014-09-12T00:00:00,N00279,A00965,N00539,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL478-02-DOSTAM000,1,1,2014-09-11T00:50:00,2014-09-12T00:00:00,N00279,A00965,N00538,59.93373,-39.47383,,
KN-221-4,,,,GI05MOAS-GL478-04-CTDGVM000,1,1,2014-09-11T00:50:00,2014-09-12T00:00:00,N00279,A00965,N00537,59.93373,-39.47383,,
AT-30-01,,,,GI05MOAS-GL485-00-ENG000000,1,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,OL000120,59.8582,-39.118,,
AT-30-01,,,,GI05MOAS-GL485-01-FLORDM000,1,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,N00536,59.8582,-39.118,,
AT-30-01,,,,GI05MOAS-GL485-02-DOSTAM000,1,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,N00535,59.8582,-39.118,,
AT-30-01,,,,GI05MOAS-GL485-04-CTDGVM000,1,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,N00534,59.8582,-39.118,,
AT-30-01,,,,GI05MOAS-GL495-00-ENG000000,1,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,OL000121,59.86108,-39.11333,,
AT-30-01,,,,GI05MOAS-GL495-01-FLORDM000,1,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,N00542,59.86108,-39.11333,,
AT-30-01,,,,GI05MOAS-GL495-02-DOSTAM000,1,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,N00541,59.86108,-39.11333,,
AT-30-01,,,,GI05MOAS-GL495-04-CTDGVM000,1,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,N00540,59.86108,-39.11333,,
AR-07-01,,,,GI05MOAS-GL559-00-ENG000000,1,1,2016-07-09T10:12:00,2017-08-01T00:00:00,N00279,OL000606,OL000610,59.86086,-39.12924,,
AR-07-01,,,,GI05MOAS-GL559-01-FLORDM000,1,1,2016-07-09T10:12:00,2017-08-01T00:00:00,N00279,OL000606,OL000607,59.86086,-39.12924,,
AR-07-01,,,,GI05MOAS-GL559-02-DOSTAM000,1,1,2016-07-09T10:12:00,2017-08-01T00:00:00,N00279,OL000606,OL000609,59.86086,-39.12924,,
AR-07-01,,,,GI05MOAS-GL559-04-CTDGVM000,1,1,2016-07-09T10:12:00,2017-08-01T00:00:00,N00279,OL000606,OL000608,59.86086,-39.12924,,
AT-30-01,,,,GI05MOAS-PG528-00-ENG000000,1,1,2015-08-17T12:25:00,2016-06-18T00:00:00,N00279,A01667,OL000122,59.86283,-39.11552,,
AT-30-01,,,,GI05MOAS-PG528-01-CTDGVM000,1,1,2015-08-17T12:25:00,2016-06-18T00:00:00,N00279,A01667,N00543,59.86283,-39.11552,,
AT-30-01,,,,GI05MOAS-PG528-02-DOSTAM000,1,1,2015-08-17T12:25:00,2016-06-18T00:00:00,N00279,A01667,N00544,59.86283,-39.11552,,
AT-30-01,,,,GI05MOAS-PG528-03-FLORTM000,1,1,2015-08-17T12:25:00,2016-06-18T00:00:00,N00279,A01667,N00546,59.86283,-39.11552,,
AT-30-01,,,,GI05MOAS-PG528-05-NUTNRM000,1,1,2015-08-17T12:25:00,2016-06-18T00:00:00,N00279,A01667,N00545,59.86283,-39.11552,,
AT-30-01,,,,GI05MOAS-PG528-06-FLORTO000,1,1,2015-08-17T12:25:00,2016-06-18T00:00:00,N00279,A01667,OL000167,59.86283,-39.11552,,
AT-30-01,,,,GI05MOAS-PG528-06-PARADM000,1,1,2015-08-17T12:25:00,2016-06-18T00:00:00,N00279,A01667,N00548,59.86283,-39.11552,,
