CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-30-01,,,,GI05MOAS-GL484-00-ENG000000,2,1,2015-08-17T10:25:00,2015-08-27T00:00:00,N00279,A00966,OL000119,59.86,-39.13167,,,,
AT-30-01,,,,GI05MOAS-GL484-01-FLORDM000,2,1,2015-08-17T10:25:00,2015-08-27T00:00:00,N00279,A00966,N00530,59.86,-39.13167,,,,
AT-30-01,,,,GI05MOAS-GL484-02-DOSTAM000,2,1,2015-08-17T10:25:00,2015-08-27T00:00:00,N00279,A00966,N00529,59.86,-39.13167,,,,
AT-30-01,,,,GI05MOAS-GL484-04-CTDGVM000,2,1,2015-08-17T10:25:00,2015-08-27T00:00:00,N00279,A00966,N00528,59.86,-39.13167,,,,
AT-30-01,,,,GI05MOAS-GL485-00-ENG000000,2,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,OL000120,59.8582,-39.118,,,,
AT-30-01,,,,GI05MOAS-GL485-01-FLORDM000,2,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,N00536,59.8582,-39.118,,,,
AT-30-01,,,,GI05MOAS-GL485-02-DOSTAM000,2,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,N00535,59.8582,-39.118,,,,
AT-30-01,,,,GI05MOAS-GL485-04-CTDGVM000,2,1,2015-08-17T10:36:00,2015-11-20T00:00:00,N00279,A00967,N00534,59.8582,-39.118,,,,
AT-30-01,,,,GI05MOAS-GL495-00-ENG000000,2,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,OL000121,59.86108,-39.11333,,,,
AT-30-01,,,,GI05MOAS-GL495-01-FLORDM000,2,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,N00542,59.86108,-39.11333,,,,
AT-30-01,,,,GI05MOAS-GL495-02-DOSTAM000,2,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,N00541,59.86108,-39.11333,,,,
AT-30-01,,,,GI05MOAS-GL495-04-CTDGVM000,2,1,2015-08-17T14:02:00,2015-11-05T00:00:00,N00279,A01218,N00540,59.86108,-39.11333,,,,
