CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
MV1309,,MV1404,,GP02HYPM-RIM01-00-SIOENG000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,CGCON-SIOCON-12368,50.07067,-144.798,,4071,4219,,,
MV1309,,MV1404,,GP02HYPM-RIM01-02-CTDMOG039,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,CGINS-CTDMOG-10261,50.07067,-144.798,,270,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP02-00-WFPENG000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-93602,CGCON-GWFPGX-93602,50.07067,-144.798,,2174,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP02-01-FLORDL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-93602,CGINS-FLORDL-02736,50.07067,-144.798,,2174,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP02-03-DOSTAL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-93602,CGINS-DOSTAL-01086,50.07067,-144.798,,2174,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP02-04-CTDPFL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-93602,CGINS-CTDPFL-00107,50.07067,-144.798,,2174,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP02-05-VEL3DL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-93602,CGINS-VEL3DL-01024,50.07067,-144.798,,2174,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP03-00-WFPENG000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-77401,CGCON-GWFPGX-77401,50.07067,-144.798,,4061,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP03-01-FLORDL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-77401,CGINS-FLORDL-02350,50.07067,-144.798,,4061,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP03-03-DOSTAL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-77401,CGINS-DOSTAL-01106,50.07067,-144.798,,4061,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP03-04-CTDPFL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-77401,CGINS-CTDPFL-00097,50.07067,-144.798,,4061,4219,,,
MV1309,,MV1404,,GP02HYPM-WFP03-05-VEL3DL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,CGVEH-GWFPGX-77401,CGINS-VEL3DL-01025,50.07067,-144.798,,4061,4219,,,
MV1404,,TN323,,GP02HYPM-RIM01-00-SIOENG000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,,CGCON-SIOCON-13283,50.07833,-144.80533,,4048,4219,,,
MV1404,,TN323,,GP02HYPM-RIM01-02-CTDMOG039,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,,CGINS-CTDMOG-10214,50.07833,-144.80533,,163,4219,,,
MV1404,,TN323,,GP02HYPM-WFP02-00-WFPENG000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-93602,CGCON-GWFPGX-93602,50.07833,-144.80533,,2093,4219,,,
MV1404,,TN323,,GP02HYPM-WFP02-01-FLORDL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-93602,CGINS-FLORDL-02736,50.07833,-144.80533,,2093,4219,,,
MV1404,,TN323,,GP02HYPM-WFP02-03-DOSTAL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-93602,CGINS-DOSTAL-01086,50.07833,-144.80533,,2093,4219,,,
MV1404,,TN323,,GP02HYPM-WFP02-04-CTDPFL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-93602,CGINS-CTDPFL-00107,50.07833,-144.80533,,2093,4219,,,
MV1404,,TN323,,GP02HYPM-WFP02-05-VEL3DL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-93602,CGINS-VEL3DL-01024,50.07833,-144.80533,,2093,4219,,,
MV1404,,TN323,,GP02HYPM-WFP03-00-WFPENG000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-10402,CGCON-GWFPGX-10402,50.07833,-144.80533,,4038,4219,,,
MV1404,,TN323,,GP02HYPM-WFP03-01-FLORDL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-10402,CGINS-FLORDL-03283,50.07833,-144.80533,,4038,4219,,,
MV1404,,TN323,,GP02HYPM-WFP03-03-DOSTAL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-10402,CGINS-DOSTAL-01480,50.07833,-144.80533,,4038,4219,,,
MV1404,,TN323,,GP02HYPM-WFP03-04-CTDPFL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-10402,CGINS-CTDPFL-00134,50.07833,-144.80533,,4038,4219,,,
MV1404,,TN323,,GP02HYPM-WFP03-05-VEL3DL000,2,1,2014-06-22T02:14:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,CGVEH-GWFPGX-10402,CGINS-VEL3DL-13551,50.07833,-144.80533,,4038,4219,,,
TN323,,RB1605,,GP02HYPM-RIM01-00-SIOENG000,3,1,2015-06-04T23:38:00,2016-07-01T17:57:00,CGMGP-02HYPM-00003,,CGCON-SIOCON-11690,50.07983,-144.803,,4080,4219,,,
TN323,,RB1605,,GP02HYPM-RIM01-02-CTDMOG039,3,1,2015-06-04T23:38:00,2016-07-01T17:57:00,CGMGP-02HYPM-00003,,CGINS-CTDMOG-10257,50.07983,-144.803,,163,4219,,,
TN323,,RB1605,,GP02HYPM-WFP02-00-WFPENG000,3,1,2015-06-04T23:38:00,2016-07-01T17:57:00,CGMGP-02HYPM-00003,CGVEH-GWFPGX-99701,CGCON-GWFPGX-99701,50.07983,-144.803,,2102,4219,,,
