CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
MV-130,,,,GP03FLMA-RIM01-00-SIOENG000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,OL000080,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-ADCPSL003,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00068,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG040,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00142,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG041,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00109,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG042,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00145,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG043,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00104,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG044,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00139,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG045,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00147,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG046,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00137,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG047,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00108,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOG048,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00141,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOH049,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00133,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOH050,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00136,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIM01-02-CTDMOH051,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00152,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIS01-00-SIOENG000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,OL000021,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIS01-03-DOSTAD000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00177,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIS01-04-PHSENF000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00161,49.9795,-144.254,,4127
MV-130,,,,GP03FLMA-RIS01-05-FLORTD000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,A00364,,A00154,49.9795,-144.254,,4127
