CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
TN-323,,,,GP03FLMA-RIM01-00-SIOENG000,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,OL000088,49.97667,-144.24617,,1526,4127,
TN-323,,,,GP03FLMA-RIM01-02-ADCPSL003,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A01503,49.97667,-144.24617,,520,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG040,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00108,49.97667,-144.24617,,48,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG041,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00950,49.97667,-144.24617,,59,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG042,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00113,49.97667,-144.24617,,79,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG043,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00109,49.97667,-144.24617,,109,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG044,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00110,49.97667,-144.24617,,149,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG045,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00104,49.97667,-144.24617,,199,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG046,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00137,49.97667,-144.24617,,269,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG047,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00106,49.97667,-144.24617,,370,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOG048,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00148,49.97667,-144.24617,,520,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOH049,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00133,49.97667,-144.24617,,767,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOH050,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00136,49.97667,-144.24617,,1018,4127,
TN-323,,,,GP03FLMA-RIM01-02-CTDMOH051,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00685,49.97667,-144.24617,,1520,4127,
TN-323,,,,GP03FLMA-RIS01-00-SIOENG000,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,OL000087,49.97667,-144.24617,,48,4127,
TN-323,,,,GP03FLMA-RIS01-03-DOSTAD000,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00902,49.97667,-144.24617,,48,4127,
TN-323,,,,GP03FLMA-RIS01-04-PHSENF000,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A00161,49.97667,-144.24617,,48,4127,
TN-323,,,,GP03FLMA-RIS01-05-FLORTD000,3,1,2015-06-06T22:40:00,2016-06-28T00:00:00,N00253,,A01497,49.97667,-144.24617,,48,4127,
