CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
MV-1309,,MV-1404,,GP03FLMA-RIM01-00-SIOENG000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGCON-SIOCON-11690,49.9795,-144.254,,1506,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-ADCPSL003,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-ADCPSL-18351,49.9795,-144.254,,500,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG040,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10257,49.9795,-144.254,,28,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG041,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10220,49.9795,-144.254,,39,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG042,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10260,49.9795,-144.254,,59,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG043,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10215,49.9795,-144.254,,89,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG044,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10254,49.9795,-144.254,,129,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG045,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10262,49.9795,-144.254,,179,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG046,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10252,49.9795,-144.254,,250,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG047,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10219,49.9795,-144.254,,350,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOG048,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOG-10256,49.9795,-144.254,,500,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOH049,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOH-10226,49.9795,-144.254,,748,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOH050,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOH-10229,49.9795,-144.254,,999,4127,
MV-1309,,MV-1404,,GP03FLMA-RIM01-02-CTDMOH051,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-CTDMOH-10267,49.9795,-144.254,,1500,4127,
MV-1309,,MV-1404,,GP03FLMA-RIS01-00-SIOENG000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGCON-SIOCON-12372,49.9795,-144.254,,28,4127,
MV-1309,,MV-1404,,GP03FLMA-RIS01-03-DOSTAD000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-DOSTAD-00129,49.9795,-144.254,,28,4127,
MV-1309,,MV-1404,,GP03FLMA-RIS01-04-PHSENF000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-PHSENF-P0080,49.9795,-144.254,,28,4127,
MV-1309,,MV-1404,,GP03FLMA-RIS01-05-FLORTD000,1,1,2013-07-21T22:44:00,2014-06-15T00:00:00,CGMGP-03FLMA-00001,,CGINS-FLORTD-01005,49.9795,-144.254,,28,4127,
MV-1404,,TN-323,,GP03FLMA-RIM01-00-SIOENG000,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,CGCON-SIOCON-13278,49.9775,-144.24567,,1506,4237,
MV-1404,,TN-323,,GP03FLMA-RIM01-02-ADCPSL003,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,CGINS-ADCPSL-20502,49.9775,-144.24567,,500,4237,
