CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
MV-130,,,,GP03FLMB-RIM01-00-SIOENG000,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,OL000088,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-ADCPSL007,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00075,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG060,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00140,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG061,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00110,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG062,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00105,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG063,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00106,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG064,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00111,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG065,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00148,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG066,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00143,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG067,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00144,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOG068,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00138,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOH069,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00151,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOH070,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00150,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIM01-02-CTDMOH071,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00149,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIS01-00-SIOENG000,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,OL000102,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIS01-03-DOSTAD000,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00170,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIS01-04-PHSENF000,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00162,50.33167,-144.40083,,4145
MV-130,,,,GP03FLMB-RIS01-05-FLORTD000,1,1,2013-07-24T06:32:00,2014-06-18T00:00:00,A00365,,A00153,50.33167,-144.40083,,4145
