CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
MV-1404,,,,GP03FLMB-RIM01-00-SIOENG000,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,OL000102,50.33133,-144.3975,,1509,4145,
MV-1404,,,,GP03FLMB-RIM01-02-ADCPSL007,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A00570,50.33133,-144.3975,,503,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG060,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01398,50.33133,-144.3975,,31,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG061,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01405,50.33133,-144.3975,,42,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG062,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01393,50.33133,-144.3975,,62,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG063,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01402,50.33133,-144.3975,,92,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG064,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01390,50.33133,-144.3975,,132,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG065,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01392,50.33133,-144.3975,,182,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG066,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01391,50.33133,-144.3975,,252,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG067,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A00112,50.33133,-144.3975,,353,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOG068,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01406,50.33133,-144.3975,,503,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOH069,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A00135,50.33133,-144.3975,,750,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOH070,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01407,50.33133,-144.3975,,1001,4145,
MV-1404,,,,GP03FLMB-RIM01-02-CTDMOH071,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01411,50.33133,-144.3975,,1503,4145,
MV-1404,,,,GP03FLMB-RIS01-00-SIOENG000,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,OL000103,50.33133,-144.3975,,31,4145,
MV-1404,,,,GP03FLMB-RIS01-03-DOSTAD000,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A00413,50.33133,-144.3975,,31,4145,
MV-1404,,,,GP03FLMB-RIS01-04-PHSENF000,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A01501,50.33133,-144.3975,,31,4145,
MV-1404,,,,GP03FLMB-RIS01-05-FLORTD000,2,1,2014-06-20T02:00:00,2015-06-07T00:00:00,N00254,,A00467,50.33133,-144.3975,,31,4145,
