CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
MV1309,,MV1404,,GP03FLMB-RIM01-00-SIOENG000,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGCON-SIOCON-12371,50.33167,-144.40083,,1507,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-ADCPSL007,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-ADCPSL-18260,50.33167,-144.40083,,500,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG060,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10255,50.33167,-144.40083,,30,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG061,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10221,50.33167,-144.40083,,40,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG062,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10216,50.33167,-144.40083,,60,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG063,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10217,50.33167,-144.40083,,90,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG064,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10222,50.33167,-144.40083,,130,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG065,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10263,50.33167,-144.40083,,180,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG066,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10258,50.33167,-144.40083,,250,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG067,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10259,50.33167,-144.40083,,350,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOG068,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOG-10253,50.33167,-144.40083,,500,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOH069,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOH-10266,50.33167,-144.40083,,750,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOH070,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOH-10265,50.33167,-144.40083,,1000,4145,,,
MV1309,,MV1404,,GP03FLMB-RIM01-02-CTDMOH071,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-CTDMOH-10264,50.33167,-144.40083,,1500,4145,,,
MV1309,,MV1404,,GP03FLMB-RIS01-00-SIOENG000,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGCON-SIOCON-12365,50.33167,-144.40083,,30,4145,,,
MV1309,,MV1404,,GP03FLMB-RIS01-03-DOSTAD000,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-DOSTAD-00128,50.33167,-144.40083,,30,4145,,,
MV1309,,MV1404,,GP03FLMB-RIS01-04-PHSENF000,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-PHSENF-P0081,50.33167,-144.40083,,30,4145,,,
MV1309,,MV1404,,GP03FLMB-RIS01-05-FLORTD000,1,1,2013-07-24T06:32:00,2014-06-18T14:00:00,CGMGP-03FLMB-00001,,CGINS-FLORTD-01004,50.33167,-144.40083,,30,4145,,,
