CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
MV1404,,TN323,,GP05MOAS-GL276-00-ENG000000,1,1,2014-06-15T05:33:44,2015-06-02T06:22:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGCON-GLDROO-00276,49.99652,-144.25475,,1000,1000,,,
MV1404,,TN323,,GP05MOAS-GL276-01-FLORDM000,1,1,2014-06-15T05:33:44,2015-06-02T06:22:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-FLORTM-03260,49.99652,-144.25475,,1000,1000,FLORT deployed in place of customary FLORD,,
MV1404,,TN323,,GP05MOAS-GL276-02-DOSTAM000,1,1,2014-06-15T05:33:44,2015-06-02T06:22:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-DOSTAM-00012,49.99652,-144.25475,,1000,1000,,,
MV1404,,TN323,,GP05MOAS-GL276-04-CTDGVM000,1,1,2014-06-15T05:33:44,2015-06-02T06:22:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-CTDGVM-00104,49.99652,-144.25475,,1000,1000,,,
SR1811,,TY-1902,,GP05MOAS-GL276-00-ENG000000,2,1,2018-07-23T06:33:00,2019-02-12T21:15:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGCON-GLDROO-00276,50.1295,-144.5424,,1000,1000,,,
SR1811,,TY-1902,,GP05MOAS-GL276-01-FLORDM000,2,1,2018-07-23T06:33:00,2019-02-12T21:15:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-FLORTM-03260,50.1295,-144.5424,,1000,1000,FLORT deployed in place of customary FLORD,,
SR1811,,TY-1902,,GP05MOAS-GL276-02-DOSTAM000,2,1,2018-07-23T06:33:00,2019-02-12T21:15:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-DOSTAM-00145,50.1295,-144.5424,,1000,1000,,,
SR1811,,TY-1902,,GP05MOAS-GL276-04-CTDGVM000,2,1,2018-07-23T06:33:00,2019-02-12T21:15:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-CTDGVM-00104,50.1295,-144.5424,,1000,1000,,,
SU20211112,,SU20211112,,GP05MOAS-GL276-00-ENG000000,3,1,2021-11-13T09:25:00,2021-11-13T13:19:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGCON-GLDROO-00276,44.78732,-125.31298,,1000,1000,short deployment due to steering issues,,
SU20211112,,SU20211112,,GP05MOAS-GL276-01-FLORDM000,3,1,2021-11-13T09:25:00,2021-11-13T13:19:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-FLORDM-03583,44.78732,-125.31298,,1000,1000,short deployment due to steering issues,,
SU20211112,,SU20211112,,GP05MOAS-GL276-02-DOSTAM000,3,1,2021-11-13T09:25:00,2021-11-13T13:19:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-DOSTAM-00398,44.78732,-125.31298,,1000,1000,top mount; short deployment due to steering issues,,
SU20211112,,SU20211112,,GP05MOAS-GL276-04-CTDGVM000,3,1,2021-11-13T09:25:00,2021-11-13T13:19:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00276,CGINS-CTDGVM-09238,44.78732,-125.31298,,1000,1000,short deployment due to steering issues,,
