CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
MV-1404,,,,GP05MOAS-GL276-00-ENG000000,1,1,2014-06-15T05:30:00,2015-06-02T00:00:00,N00280,A00375,OL000123,50.07833,-144.80533,,
MV-1404,,,,GP05MOAS-GL276-01-FLORDM000,1,1,2014-06-15T05:30:00,2015-06-02T00:00:00,N00280,A00375,N00622,50.07833,-144.80533,,
MV-1404,,,,GP05MOAS-GL276-02-DOSTAM000,1,1,2014-06-15T05:30:00,2015-06-02T00:00:00,N00280,A00375,N00621,50.07833,-144.80533,,
MV-1404,,,,GP05MOAS-GL276-04-CTDGVM000,1,1,2014-06-15T05:30:00,2015-06-02T00:00:00,N00280,A00375,N00620,50.07833,-144.80533,,
CCGS Tully,,,,GP05MOAS-GL361-00-ENG000000,1,1,2014-02-20T00:00:00,2014-05-04T00:00:00,N00280,A00376,OL000124,50.07067,-144.798,,
CCGS Tully,,,,GP05MOAS-GL361-01-FLORDM000,1,1,2014-02-20T00:00:00,2014-05-04T00:00:00,N00280,A00376,N00625,50.07067,-144.798,,
CCGS Tully,,,,GP05MOAS-GL361-02-DOSTAM000,1,1,2014-02-20T00:00:00,2014-05-04T00:00:00,N00280,A00376,N00624,50.07067,-144.798,,
CCGS Tully,,,,GP05MOAS-GL361-04-CTDGVM000,1,1,2014-02-20T00:00:00,2014-05-04T00:00:00,N00280,A00376,N00623,50.07067,-144.798,,
CCGS Tully,,,,GP05MOAS-GL362-00-ENG000000,1,1,2014-08-29T00:00:00,2014-09-04T00:00:00,N00280,A00377,OL000125,50.07833,-144.80533,,
CCGS Tully,,,,GP05MOAS-GL362-01-FLORDM000,1,1,2014-08-29T00:00:00,2014-09-04T00:00:00,N00280,A00377,N00628,50.07833,-144.80533,,
CCGS Tully,,,,GP05MOAS-GL362-02-DOSTAM000,1,1,2014-08-29T00:00:00,2014-09-04T00:00:00,N00280,A00377,N00627,50.07833,-144.80533,,
CCGS Tully,,,,GP05MOAS-GL362-04-CTDGVM000,1,1,2014-08-29T00:00:00,2014-09-04T00:00:00,N00280,A00377,N00626,50.07833,-144.80533,,
MV-130,,,,GP05MOAS-GL363-00-ENG000000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00378,OL000126,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL363-01-FLORDM000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00378,N00631,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL363-02-DOSTAM000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00378,N00630,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL363-04-CTDGVM000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00378,N00629,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL364-00-ENG000000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00379,OL000127,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL364-01-FLORDM000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00379,N00634,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL364-02-DOSTAM000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00379,N00633,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL364-04-CTDGVM000,1,1,2013-07-19T23:00:00,2014-06-15T00:00:00,N00280,A00379,N00632,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL365-00-ENG000000,1,1,2013-07-19T23:00:00,2014-02-20T00:00:00,N00280,A00380,OL000128,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL365-01-FLORDM000,1,1,2013-07-19T23:00:00,2014-02-20T00:00:00,N00280,A00380,N00637,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL365-02-DOSTAM000,1,1,2013-07-19T23:00:00,2014-02-20T00:00:00,N00280,A00380,N00636,50.07067,-144.798,,
MV-130,,,,GP05MOAS-GL365-04-CTDGVM000,1,1,2013-07-19T23:00:00,2014-02-20T00:00:00,N00280,A00380,N00635,50.07067,-144.798,,
CCGS Tully,,,,GP05MOAS-GL453-00-ENG000000,1,1,2014-08-29T00:00:00,2014-10-30T00:00:00,N00280,A00852,OL000129,50.07833,-144.80533,,
CCGS Tully,,,,GP05MOAS-GL453-01-FLORDM000,1,1,2014-08-29T00:00:00,2014-10-30T00:00:00,N00280,A00852,N00640,50.07833,-144.80533,,
CCGS Tully,,,,GP05MOAS-GL453-02-DOSTAM000,1,1,2014-08-29T00:00:00,2014-10-30T00:00:00,N00280,A00852,N00639,50.07833,-144.80533,,
CCGS Tully,,,,GP05MOAS-GL453-04-CTDGVM000,1,1,2014-08-29T00:00:00,2014-10-30T00:00:00,N00280,A00852,N00638,50.07833,-144.80533,,
TN-323,,,,GP05MOAS-GL523-00-ENG000000,1,1,2015-06-02T04:40:00,2016-08-28T00:00:00,N00280,A01296,OL000130,49.96608,-144.2464,,
TN-323,,,,GP05MOAS-GL523-01-FLORDM000,1,1,2015-06-02T04:40:00,2016-08-28T00:00:00,N00280,A01296,N00643,49.96608,-144.2464,,
TN-323,,,,GP05MOAS-GL523-02-DOSTAM000,1,1,2015-06-02T04:40:00,2016-08-28T00:00:00,N00280,A01296,N00642,49.96608,-144.2464,,
TN-323,,,,GP05MOAS-GL523-04-CTDGVM000,1,1,2015-06-02T04:40:00,2016-08-28T00:00:00,N00280,A01296,N00641,49.96608,-144.2464,,
TN-323,,,,GP05MOAS-GL525-00-ENG000000,1,1,2015-06-02T11:25:00,2016-07-06T00:00:00,N00280,A01308,OL000131,50.16428,-144.57165,,
TN-323,,,,GP05MOAS-GL525-01-FLORDM000,1,1,2015-06-02T11:25:00,2016-07-06T00:00:00,N00280,A01308,N00646,50.16428,-144.57165,,
TN-323,,,,GP05MOAS-GL525-02-DOSTAM000,1,1,2015-06-02T11:25:00,2016-07-06T00:00:00,N00280,A01308,N00645,50.16428,-144.57165,,
TN-323,,,,GP05MOAS-GL525-04-CTDGVM000,1,1,2015-06-02T11:25:00,2016-07-06T00:00:00,N00280,A01308,N00644,50.16428,-144.57165,,
TN-323,,,,GP05MOAS-GL537-00-ENG000000,1,1,2015-06-02T11:05:00,2016-06-26T00:00:00,N00280,A01432,OL000132,50.17548,-144.55345,,
TN-323,,,,GP05MOAS-GL537-01-FLORDM000,1,1,2015-06-02T11:05:00,2016-06-26T00:00:00,N00280,A01432,N00649,50.17548,-144.55345,,
TN-323,,,,GP05MOAS-GL537-02-DOSTAM000,1,1,2015-06-02T11:05:00,2016-06-26T00:00:00,N00280,A01432,N00648,50.17548,-144.55345,,
TN-323,,,,GP05MOAS-GL537-04-CTDGVM000,1,1,2015-06-02T11:05:00,2016-06-26T00:00:00,N00280,A01432,N00647,50.17548,-144.55345,,
TN-323,,,,GP05MOAS-PG514-00-ENG000000,1,1,2015-06-02T10:00:00,2015-11-16T00:00:00,N00280,A01222,OL000133,50.16692,-144.5453,,
TN-323,,,,GP05MOAS-PG514-01-CTDGVM000,1,1,2015-06-02T10:00:00,2015-11-16T00:00:00,N00280,A01222,N00650,50.16692,-144.5453,,
TN-323,,,,GP05MOAS-PG514-02-DOSTAM000,1,1,2015-06-02T10:00:00,2015-11-16T00:00:00,N00280,A01222,N00651,50.16692,-144.5453,,
