CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
NBP-15-11,,,,GS01SUMO-RID16-00-DCLENG000,2,1,2015-12-14T20:20:00,,OL000063,,OL000079,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-01-OPTAAD000,2,1,2015-12-14T20:20:00,,OL000063,,A01636,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-02-FLORTD000,2,1,2015-12-14T20:20:00,,OL000063,,A01633,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-03-CTDBPF000,2,1,2015-12-14T20:20:00,,OL000063,,A01536,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-04-VELPTA000,2,1,2015-12-14T20:20:00,,OL000063,,A01069,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-05-PCO2WB000,2,1,2015-12-14T20:20:00,,OL000063,,A01228,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-06-DOSTAD000,2,1,2015-12-14T20:20:00,,OL000063,,A00400,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-07-NUTNRB000,2,1,2015-12-14T20:20:00,,OL000063,,A00066,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RID16-08-SPKIRB000,2,1,2015-12-14T20:20:00,,OL000063,,OL000072,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RII11-02-ADCPSN010,2,1,2015-12-14T20:20:00,,OL000063,,A01535,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RII11-02-CTDBPP031,2,1,2015-12-14T20:20:00,,OL000063,,A01138,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RII11-02-CTDBPP032,2,1,2015-12-14T20:20:00,,OL000063,,A01417,-54.40408,-89.20691,,4588
NBP-15-11,,,,GS01SUMO-RII11-02-CTDBPP033,2,1,2015-12-14T20:20:00,,OL000063,,A01418,-54.40408,-89.20691,,4588
