CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-29,,,,GS01SUMO-RID16-00-DCLENG000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00065,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-01-OPTAAD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-OPTAAD-00206,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-02-FLORTD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-FLORTD-01218,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-03-CTDBPF000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-CTDBPF-50060,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-04-VELPTA000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-VELPTA-12224,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-05-PCO2WB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-PCO2WB-C0070,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-06-DOSTAD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-DOSTAD-00382,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-07-NUTNRB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-NUTNRB-00260,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-08-SPKIRB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-NUTNRB-00276,-54.40833,-89.3575,,12.0,4611.0,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RII11-02-ADCPSN010,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,CGINS-ADCPSN-21002,-54.40833,-89.3575,,500.0,4611.0,
